trip_id,train_number,route_name,headsign,direction_id,service_id,service_date,stop_sequence,stop_name,stop_gtfs_id,stop_code,platform,scheduled_arrival,scheduled_departure,realtime_arrival,realtime_departure,arrival_delay,departure_delay,realtime_state,scheduled_arrival_time,scheduled_departure_time,realtime_arrival_time,realtime_departure_time,collection_timestamp,data_source,collector_version
1:32397533,37638 személyvonat,Sz 37610/37611/37613/37614/37615/37616/37617/37618/37619/37622/37623/37624/37625/37626/37627/37628/37638,Vésztő,,1:2477,2026-05-24,0,Békéscsaba,1:005518036_2PJB,,2/B,81840,81840,82500,82500,660,660,MODIFIED,22:44:00,22:44:00,22:55:00,22:55:00,2026-05-25T00:12:45.929626,mav_graphql_api,1.0
1:32397533,37638 személyvonat,Sz 37610/37611/37613/37614/37615/37616/37617/37618/37619/37622/37623/37624/37625/37626/37627/37628/37638,Vésztő,,1:2477,2026-05-24,1,Fényes,1:005518671_0,,,82320,82320,82920,82920,600,600,MODIFIED,22:52:00,22:52:00,23:02:00,23:02:00,2026-05-25T00:12:45.929626,mav_graphql_api,1.0
1:32397533,37638 személyvonat,Sz 37610/37611/37613/37614/37615/37616/37617/37618/37619/37622/37623/37624/37625/37626/37627/37628/37638,Vésztő,,1:2477,2026-05-24,2,Gyula,1:005518697_3,,3,82740,82800,83340,83400,600,600,MODIFIED,22:59:00,23:00:00,23:09:00,23:10:00,2026-05-25T00:12:45.929626,mav_graphql_api,1.0
1:32397533,37638 személyvonat,Sz 37610/37611/37613/37614/37615/37616/37617/37618/37619/37622/37623/37624/37625/37626/37627/37628/37638,Vésztő,,1:2477,2026-05-24,3,József Szanatórium,1:005518713_0,,,83340,83340,84000,84000,660,660,MODIFIED,23:09:00,23:09:00,23:20:00,23:20:00,2026-05-25T00:12:45.929626,mav_graphql_api,1.0
1:32397533,37638 személyvonat,Sz 37610/37611/37613/37614/37615/37616/37617/37618/37619/37622/37623/37624/37625/37626/37627/37628/37638,Vésztő,,1:2477,2026-05-24,4,Sarkadi Cukorgyár,1:005518721_0,,,83700,83700,84360,84360,660,660,MODIFIED,23:15:00,23:15:00,23:26:00,23:26:00,2026-05-25T00:12:45.929626,mav_graphql_api,1.0
1:32397533,37638 személyvonat,Sz 37610/37611/37613/37614/37615/37616/37617/37618/37619/37622/37623/37624/37625/37626/37627/37628/37638,Vésztő,,1:2477,2026-05-24,5,Sarkad,1:005518739_3,,3,83880,83940,84540,84540,660,600,MODIFIED,23:18:00,23:19:00,23:29:00,23:29:00,2026-05-25T00:12:45.929626,mav_graphql_api,1.0
1:32397533,37638 személyvonat,Sz 37610/37611/37613/37614/37615/37616/37617/37618/37619/37622/37623/37624/37625/37626/37627/37628/37638,Vésztő,,1:2477,2026-05-24,6,Kötegyán,1:005518747_4,,4,84360,84840,84960,85260,600,420,MODIFIED,23:26:00,23:34:00,23:36:00,23:41:00,2026-05-25T00:12:45.929626,mav_graphql_api,1.0
1:32397533,37638 személyvonat,Sz 37610/37611/37613/37614/37615/37616/37617/37618/37619/37622/37623/37624/37625/37626/37627/37628/37638,Vésztő,,1:2477,2026-05-24,7,Méhkerék,1:005518762_0,,,85140,85140,85500,85500,360,360,MODIFIED,23:39:00,23:39:00,23:45:00,23:45:00,2026-05-25T00:12:45.929626,mav_graphql_api,1.0
1:32397533,37638 személyvonat,Sz 37610/37611/37613/37614/37615/37616/37617/37618/37619/37622/37623/37624/37625/37626/37627/37628/37638,Vésztő,,1:2477,2026-05-24,8,Sarkadkeresztúr,1:005518770_0,,,85680,85680,86040,86100,360,420,MODIFIED,23:48:00,23:48:00,23:54:00,23:55:00,2026-05-25T00:12:45.929626,mav_graphql_api,1.0
1:32397533,37638 személyvonat,Sz 37610/37611/37613/37614/37615/37616/37617/37618/37619/37622/37623/37624/37625/37626/37627/37628/37638,Vésztő,,1:2477,2026-05-24,9,Okány,1:005518796_3,,3,86460,86520,86880,86880,420,360,MODIFIED,00:01:00,00:02:00,00:08:00,00:08:00,2026-05-25T00:12:45.929626,mav_graphql_api,1.0
1:32397533,37638 személyvonat,Sz 37610/37611/37613/37614/37615/37616/37617/37618/37619/37622/37623/37624/37625/37626/37627/37628/37638,Vésztő,,1:2477,2026-05-24,10,Vésztő,1:005518465_4,,4,87180,87180,87600,87600,420,420,MODIFIED,00:13:00,00:13:00,00:20:00,00:20:00,2026-05-25T00:12:45.929626,mav_graphql_api,1.0
1:32389466.29048333,2010 személyvonat,S72,Esztergom,,1:2099,2026-05-24,0,Angyalföld,1:005510124_0,,,2760,3120,2760,3120,0,0,SCHEDULED,00:46:00,00:52:00,00:46:00,00:52:00,2026-05-25T00:12:45.929626,mav_graphql_api,1.0
1:32389466.29048333,2010 személyvonat,S72,Esztergom,,1:2099,2026-05-24,1,Újpest,1:005510207_0,,,3240,3240,3240,3240,0,0,SCHEDULED,00:54:00,00:54:00,00:54:00,00:54:00,2026-05-25T00:12:45.929626,mav_graphql_api,1.0
1:32389466.29048333,2010 személyvonat,S72,Esztergom,,1:2099,2026-05-24,2,Aquincum,1:005540253_0,,,3420,3480,3420,3480,0,0,SCHEDULED,00:57:00,00:58:00,00:57:00,00:58:00,2026-05-25T00:12:45.929626,mav_graphql_api,1.0
1:32389466.29048333,2010 személyvonat,S72,Esztergom,,1:2099,2026-05-24,3,Óbuda,1:005501404_0,,,3540,3600,3540,3600,0,0,SCHEDULED,00:59:00,01:00:00,00:59:00,01:00:00,2026-05-25T00:12:45.929626,mav_graphql_api,1.0
1:32389466.29048333,2010 személyvonat,S72,Esztergom,,1:2099,2026-05-24,4,Aranyvölgy,1:005501408_0,,,3660,3660,3660,3660,0,0,SCHEDULED,01:01:00,01:01:00,01:01:00,01:01:00,2026-05-25T00:12:45.929626,mav_graphql_api,1.0
1:32389466.29048333,2010 személyvonat,S72,Esztergom,,1:2099,2026-05-24,5,Üröm,1:005501412_0,,,3780,3780,3780,3780,0,0,SCHEDULED,01:03:00,01:03:00,01:03:00,01:03:00,2026-05-25T00:12:45.929626,mav_graphql_api,1.0
1:32389466.29048333,2010 személyvonat,S72,Esztergom,,1:2099,2026-05-24,6,Solymár,1:005501420_0,,,3960,4020,3960,4020,0,0,SCHEDULED,01:06:00,01:07:00,01:06:00,01:07:00,2026-05-25T00:12:45.929626,mav_graphql_api,1.0
1:32389466.29048333,2010 személyvonat,S72,Esztergom,,1:2099,2026-05-24,7,Szélhegy,1:005501428_0,,,4140,4140,4140,4140,0,0,SCHEDULED,01:09:00,01:09:00,01:09:00,01:09:00,2026-05-25T00:12:45.929626,mav_graphql_api,1.0
1:32389466.29048333,2010 személyvonat,S72,Esztergom,,1:2099,2026-05-24,8,Vörösvárbánya,1:005501433_0,,,4260,4260,4260,4260,0,0,SCHEDULED,01:11:00,01:11:00,01:11:00,01:11:00,2026-05-25T00:12:45.929626,mav_graphql_api,1.0
1:32389466.29048333,2010 személyvonat,S72,Esztergom,,1:2099,2026-05-24,9,Pilisvörösvár,1:005501438_0,,,4380,4440,4380,4440,0,0,SCHEDULED,01:13:00,01:14:00,01:13:00,01:14:00,2026-05-25T00:12:45.929626,mav_graphql_api,1.0
1:32389466.29048333,2010 személyvonat,S72,Esztergom,,1:2099,2026-05-24,10,Szabadságliget,1:005546052_0,,,4560,4560,4560,4560,0,0,SCHEDULED,01:16:00,01:16:00,01:16:00,01:16:00,2026-05-25T00:12:45.929626,mav_graphql_api,1.0
1:32389466.29048333,2010 személyvonat,S72,Esztergom,,1:2099,2026-05-24,11,Klotildliget,1:005501446_0,,,4980,4980,4980,4980,0,0,SCHEDULED,01:23:00,01:23:00,01:23:00,01:23:00,2026-05-25T00:12:45.929626,mav_graphql_api,1.0
1:32389466.29048333,2010 személyvonat,S72,Esztergom,,1:2099,2026-05-24,12,Piliscsaba,1:005501453_0,,,5100,5160,5100,5160,0,0,SCHEDULED,01:25:00,01:26:00,01:25:00,01:26:00,2026-05-25T00:12:45.929626,mav_graphql_api,1.0
