Loc,Lat,Lon
Budapest,47.50730000000001,19.0314
Debrecen,47.531437499999996,21.625387500000002
Keszthely,46.74261666666666,17.2274
Miskolc,48.12388181818182,20.837099999999996
Nyiregyhaza,47.96991111111112,21.767344444444447
Pecs,46.087188,18.277832
Sopron,47.6878,16.603233333333332
Szeged,46.251942857142865,20.114371428571427
Szombathely,47.249480000000005,16.623060000000002
Turkeve,47.1059,20.73473333333333
Budapest,47.50730000000001,19.0314
Debrecen,47.531437499999996,21.625387500000002
Keszthely,46.74261666666666,17.2274
Miskolc,48.12388181818182,20.837099999999996
Nyiregyhaza,47.96991111111112,21.767344444444447
Pecs,46.087188,18.277832
Sopron,47.6878,16.603233333333332
Szeged,46.28969,20.18506
Szombathely,47.249480000000005,16.623060000000002
Turkeve,47.1059,20.73473333333333
