trip_id,train_number,route_name,headsign,direction_id,service_id,service_date,stop_sequence,stop_name,stop_gtfs_id,stop_code,platform,scheduled_arrival,scheduled_departure,realtime_arrival,realtime_departure,arrival_delay,departure_delay,realtime_state,scheduled_arrival_time,scheduled_departure_time,realtime_arrival_time,realtime_departure_time,collection_timestamp,data_source,collector_version,stop_lat,stop_lon,weather_temp,weather_feels_like,weather_temp_min,weather_temp_max,weather_pressure,weather_humidity,weather_wind_speed,weather_precipitation
1:28520473,19708 KÉK HULLÁM InterCity,IC KÉK HULLÁM,Tapolca,,1:2012,2026-02-02,0,Budapest-Déli,1:005501016_0,,,68700,68700,68700,68700,0,0,SCHEDULED,19:05:00,19:05:00,19:05:00,19:05:00,2026-02-02 10:10:48.767851,mav_graphql_api,1.0,47.498889,19.025,0.55,-2.92,0.12,1.42,1012,95,3.09,0.25
1:28520473,19708 KÉK HULLÁM InterCity,IC KÉK HULLÁM,Tapolca,,1:2012,2026-02-02,1,Budapest-Kelenföld,1:005501024_0,,,69060,69120,69060,69120,0,0,SCHEDULED,19:11:00,19:12:00,19:11:00,19:12:00,2026-02-02 10:10:48.767851,mav_graphql_api,1.0,47.464444,19.02,0.54,-2.93,0.22,1.52,1012,94,3.09,0.25
1:28520473,19708 KÉK HULLÁM InterCity,IC KÉK HULLÁM,Tapolca,,1:2012,2026-02-02,2,Székesfehérvár,1:005503269_0,,,71400,71460,71400,71460,0,0,SCHEDULED,19:50:00,19:51:00,19:50:00,19:51:00,2026-02-02 10:10:48.767851,mav_graphql_api,1.0,47.183611,18.424722,0.46,-2.13,0.46,0.46,1012,93,2.18,0.0
1:28520473,19708 KÉK HULLÁM InterCity,IC KÉK HULLÁM,Tapolca,,1:2012,2026-02-02,3,Balatonalmádi,1:005504366_0,,,74160,74220,74160,74220,0,0,SCHEDULED,20:36:00,20:37:00,20:36:00,20:37:00,2026-02-02 10:10:48.767851,mav_graphql_api,1.0,47.028333,18.015,0.5,-1.44,-0.06,0.5,1012,100,1.67,0.0
1:28520473,19708 KÉK HULLÁM InterCity,IC KÉK HULLÁM,Tapolca,,1:2012,2026-02-02,4,Balatonfüred,1:005504416_0,,,75060,75720,75060,75720,0,0,SCHEDULED,20:51:00,21:02:00,20:51:00,21:02:00,2026-02-02 10:10:48.767851,mav_graphql_api,1.0,46.955833,17.883056,-0.18,-0.18,-0.18,0.38,1012,91,0.89,0.0
1:28520473,19708 KÉK HULLÁM InterCity,IC KÉK HULLÁM,Tapolca,,1:2012,2026-02-02,5,Aszófő,1:005504424_0,,,76020,76080,76020,76080,0,0,SCHEDULED,21:07:00,21:08:00,21:07:00,21:08:00,2026-02-02 10:10:48.767851,mav_graphql_api,1.0,46.925556,17.8325,-0.08,-0.08,-0.08,0.48,1012,91,0.89,0.0
1:28520473,19708 KÉK HULLÁM InterCity,IC KÉK HULLÁM,Tapolca,,1:2012,2026-02-02,6,Örvényes,1:005504432_0,,,76200,76260,76200,76260,0,0,SCHEDULED,21:10:00,21:11:00,21:10:00,21:11:00,2026-02-02 10:10:48.767851,mav_graphql_api,1.0,46.9125,17.818056,-0.06,-0.06,-0.06,0.5,1012,91,0.89,0.0
1:28520473,19708 KÉK HULLÁM InterCity,IC KÉK HULLÁM,Tapolca,,1:2012,2026-02-02,7,Balatonudvari,1:005504440_0,,,76380,76440,76380,76440,0,0,SCHEDULED,21:13:00,21:14:00,21:13:00,21:14:00,2026-02-02 10:10:48.767851,mav_graphql_api,1.0,46.904722,17.808056,-0.03,-0.03,-0.03,0.53,1012,91,0.89,0.0
1:28520473,19708 KÉK HULLÁM InterCity,IC KÉK HULLÁM,Tapolca,,1:2012,2026-02-02,8,Fövenyes,1:005504457_0,,,76560,76620,76560,76620,0,0,SCHEDULED,21:16:00,21:17:00,21:16:00,21:17:00,2026-02-02 10:10:48.767851,mav_graphql_api,1.0,46.893611,17.789444,-0.01,-0.01,-0.01,0.55,1012,91,0.89,0.0
1:28520473,19708 KÉK HULLÁM InterCity,IC KÉK HULLÁM,Tapolca,,1:2012,2026-02-02,9,Balatonakali-Dörgicse,1:005504465_0,,,76860,76920,76860,76920,0,0,SCHEDULED,21:21:00,21:22:00,21:21:00,21:22:00,2026-02-02 10:10:48.767851,mav_graphql_api,1.0,46.88,17.747778,-0.02,-0.02,-0.02,0.54,1012,91,1.07,0.0
