station_name,station_lat,station_lon,observation_time,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds,precipitation_1h,weather_main,weather_description,collection_hour
Búcsúszentlászló,46.793056,16.932778,2026-08-06 03:01:27.590344,22.21,21.66,22.21,22.21,1015,45,0.89,298,0,0.0,Clear,clear sky,3
Angyalföld,47.549722,19.09,2026-08-06 03:01:28.759731,25.27,25.03,23.73,25.51,1015,45,0.93,134,0,0.0,Clear,clear sky,3
Felsőjánosfa,46.841389,16.544167,2026-08-06 03:01:29.932916,21.61,21.18,21.61,21.61,1015,52,1.25,276,4,0.0,Clear,clear sky,3
Pankasz,46.835833,16.496111,2026-08-06 03:01:31.099187,21.24,20.83,21.24,21.24,1015,54,1.34,280,5,0.0,Clear,clear sky,3
Nagyrákos,46.827222,16.455556,2026-08-06 03:01:32.266106,21.15,20.73,21.15,21.15,1015,54,1.41,283,5,0.0,Clear,clear sky,3
Őriszentpéter,46.828889,16.415278,2026-08-06 03:01:33.435559,21.21,20.85,21.21,21.21,1015,56,1.55,288,5,0.0,Clear,clear sky,3
Törökbálint,47.45,18.908611,2026-08-06 03:01:34.604374,23.51,23.12,23.51,25.28,1015,46,0.45,338,0,0.0,Clear,clear sky,3
Bicske alsó,47.486389,18.642778,2026-08-06 03:01:35.778036,29.12,28.73,23.39,29.12,1015,40,1.06,190,0,0.0,Clear,clear sky,3
Bajánsenye,46.818056,16.358056,2026-08-06 03:01:36.946993,21.21,20.85,21.21,21.21,1015,56,1.58,293,5,0.0,Clear,clear sky,3
Aquincum,47.566218,19.048273,2026-08-06 03:01:38.174008,25.14,24.88,23.76,25.53,1015,45,0.75,134,0,0.0,Clear,clear sky,3
Piliscsév,47.673889,18.791389,2026-08-06 03:01:40.571108,29.07,28.68,25.12,29.07,1015,40,1.21,130,0,0.0,Clear,clear sky,3
Tát,47.741201,18.64783,2026-08-06 03:01:44.195321,23.55,23.0,23.55,23.55,1015,40,1.41,130,0,0.0,Clear,clear sky,3
Süttő felső,47.756667,18.437222,2026-08-06 03:01:45.381982,23.51,22.93,23.51,23.51,1015,39,1.31,129,0,0.0,Clear,clear sky,3
Budatétény,47.405,19.016389,2026-08-06 03:01:46.563759,24.35,24.04,23.8,25.57,1015,46,0.45,338,0,0.0,Clear,clear sky,3
Seregélyes-Szőlőhegy,47.119444,18.612222,2026-08-06 03:01:47.734838,23.47,22.86,23.47,23.47,1015,38,1.47,221,0,0.0,Clear,clear sky,3
Gödöllő-Állami telepek,47.564444,19.375556,2026-08-06 03:01:48.906079,24.6,24.24,24.6,25.02,1015,43,0.82,120,0,0.0,Clear,clear sky,3
Dunakeszi alsó,47.607778,19.128889,2026-08-06 03:01:50.070629,25.49,25.27,23.73,25.5,1015,45,0.85,114,0,0.0,Clear,clear sky,3
Vác-Alsóváros,47.773056,19.149722,2026-08-06 03:01:51.254379,23.8,23.28,23.8,23.8,1015,40,1.1,65,0,0.0,Clear,clear sky,3
Szob alsó,47.816667,18.8725,2026-08-06 03:01:52.420337,23.66,23.13,23.66,23.66,1015,40,1.39,108,0,0.0,Clear,clear sky,3
Zalaszentmihály-Pacsa,46.7225,16.951944,2026-08-06 03:01:53.591402,22.13,21.57,22.13,22.13,1015,45,0.86,307,0,0.0,Clear,clear sky,3
Pötréte,46.682778,16.9575,2026-08-06 03:01:54.759365,22.07,21.51,22.07,22.07,1015,45,0.83,311,0,0.0,Clear,clear sky,3
Felsőrajk,46.667222,16.982778,2026-08-06 03:01:55.924446,22.1,21.51,22.1,22.1,1015,44,0.81,311,0,0.0,Clear,clear sky,3
Gelse,46.600556,16.982778,2026-08-06 03:01:57.105079,21.96,21.36,21.96,21.96,1015,44,0.81,306,0,0.0,Clear,clear sky,3
Őrtilos,46.297778,16.887778,2026-08-06 03:01:58.270583,21.49,20.92,21.49,21.49,1015,47,1.49,303,0,0.0,Clear,clear sky,3
Zákány,46.251944,16.9425,2026-08-06 03:01:59.435385,21.31,20.67,21.31,21.31,1015,45,1.31,313,0,0.0,Clear,clear sky,3
Berzence,46.201389,17.143611,2026-08-06 03:02:00.617298,21.71,21.06,21.71,21.71,1015,43,0.76,26,0,0.0,Clear,clear sky,3
Somogyudvarhely,46.163333,17.179722,2026-08-06 03:02:01.786684,21.67,20.99,21.67,21.67,1015,42,0.86,44,0,0.0,Clear,clear sky,3
Bélavár,46.122778,17.207778,2026-08-06 03:02:02.953902,21.71,21.03,21.71,21.71,1015,42,0.96,58,0,0.0,Clear,clear sky,3
Vízvár,46.101389,17.239444,2026-08-06 03:02:04.124489,21.61,20.92,21.61,21.61,1015,42,1.01,68,0,0.0,Clear,clear sky,3
Babócsa,46.028359,17.342276,2026-08-06 03:02:05.287242,21.6,20.89,21.6,21.6,1015,41,1.09,92,0,0.0,Clear,clear sky,3
Péterhida-Komlósd,46.006667,17.358056,2026-08-06 03:02:06.464291,21.65,20.94,21.65,21.65,1015,41,1.05,99,0,0.0,Clear,clear sky,3
Barcs,45.951944,17.446944,2026-08-06 03:02:07.628080,21.61,20.87,21.61,21.61,1015,40,0.87,117,0,0.0,Clear,clear sky,3
Barcs felső,45.958333,17.486389,2026-08-06 03:02:08.808025,21.55,20.81,21.55,21.55,1015,40,0.9,122,0,0.0,Clear,clear sky,3
Középrigóc,45.970556,17.525,2026-08-06 03:02:09.980442,21.49,20.71,21.49,21.49,1015,39,0.93,127,0,0.0,Clear,clear sky,3
Darány,45.992222,17.598611,2026-08-06 03:02:11.153698,21.65,20.86,21.65,21.65,1015,38,1.2,136,0,0.0,Clear,clear sky,3
Kisdobsza,46.012222,17.668056,2026-08-06 03:02:12.327570,21.87,21.08,21.87,21.87,1015,37,1.32,138,0,0.0,Clear,clear sky,3
Nemeske,46.023333,17.705278,2026-08-06 03:02:13.499876,21.95,21.17,21.95,21.95,1015,37,1.34,138,0,0.0,Clear,clear sky,3
Molvány,46.035278,17.748611,2026-08-06 03:02:14.671262,22.09,21.29,22.09,22.09,1015,36,1.34,136,0,0.0,Clear,clear sky,3
Szigetvár,46.043333,17.801944,2026-08-06 03:02:15.836816,22.12,21.33,22.12,22.12,1015,36,1.34,133,0,0.0,Clear,clear sky,3
Nagypeterd,46.039444,17.871667,2026-08-06 03:02:17.009387,22.23,21.42,22.23,22.23,1015,35,1.41,124,0,0.0,Clear,clear sky,3
Szentdénes,46.036667,17.926944,2026-08-06 03:02:18.176463,22.21,21.4,22.21,22.21,1015,35,1.47,119,0,0.0,Clear,clear sky,3
Háros,47.412222,19.035,2026-08-06 03:02:19.352894,24.33,24.02,23.76,25.53,1015,46,0.45,338,0,0.0,Clear,clear sky,3
Nagytétény-Diósd,47.398333,18.974444,2026-08-06 03:02:20.518249,24.37,24.06,23.79,25.57,1015,46,0.45,338,0,0.0,Clear,clear sky,3
Érdliget,47.390278,18.937778,2026-08-06 03:02:21.685567,24.31,24.0,23.71,25.48,1015,46,0.45,338,0,0.0,Clear,clear sky,3
Érd felső,47.381111,18.922222,2026-08-06 03:02:22.858045,23.67,23.29,23.67,25.45,1015,46,0.45,338,0,0.0,Clear,clear sky,3
Érd,47.369722,18.900833,2026-08-06 03:02:24.025632,23.64,23.26,23.64,25.41,1015,46,1.43,197,0,0.0,Clear,clear sky,3
Százhalombatta,47.322222,18.899167,2026-08-06 03:02:25.195438,23.62,23.24,23.62,25.4,1015,46,1.56,204,0,0.0,Clear,clear sky,3
Dunai Finomító,47.294444,18.878889,2026-08-06 03:02:26.386611,23.46,23.06,23.46,25.24,1015,46,1.66,210,0,0.0,Clear,clear sky,3
Ercsi,47.247222,18.875278,2026-08-06 03:02:27.551842,23.69,23.13,23.69,25.46,1015,39,1.68,213,0,0.0,Clear,clear sky,3
Iváncsa,47.177778,18.811944,2026-08-06 03:02:28.716460,23.5,22.9,23.5,23.5,1015,38,1.65,223,0,0.0,Clear,clear sky,3
Pusztaszabolcs,47.139722,18.761667,2026-08-06 03:02:29.881355,23.54,22.94,23.54,23.54,1015,38,1.59,230,0,0.0,Clear,clear sky,3
Szabadegyháza,47.082778,18.704167,2026-08-06 03:02:31.049795,23.48,22.85,23.48,23.48,1015,37,1.49,233,0,0.0,Clear,clear sky,3
Sárosd,47.039722,18.660278,2026-08-06 03:02:32.217448,23.49,22.86,23.49,23.49,1015,37,1.45,232,0,0.0,Clear,clear sky,3
Nagylók,46.979444,18.635833,2026-08-06 03:02:33.390745,23.32,22.67,23.32,23.32,1015,37,1.3,237,0,0.0,Clear,clear sky,3
Sárbogárd,46.896944,18.611944,2026-08-06 03:02:34.556574,23.48,22.82,23.48,23.48,1015,36,1.07,236,0,0.0,Clear,clear sky,3
Rétszilas,46.814167,18.601389,2026-08-06 03:02:35.722887,23.47,22.81,23.47,23.47,1015,36,0.78,226,0,0.0,Clear,clear sky,3
Nagyatád,46.228611,17.354167,2026-08-06 03:02:36.895798,21.89,21.18,21.89,21.89,1015,40,1.05,96,0,0.0,Clear,clear sky,3
Budapest-Keleti,47.500278,19.084167,2026-08-06 03:02:38.064492,25.06,24.8,23.71,25.48,1015,45,0.45,338,0,0.0,Clear,clear sky,3
Ferencváros,47.468611,19.088056,2026-08-06 03:02:39.229000,24.87,24.59,23.73,25.5,1015,45,0.45,338,0,0.0,Clear,clear sky,3
Budapest-Nyugati,47.510833,19.0575,2026-08-06 03:02:40.395593,25.02,24.75,23.72,25.5,1015,45,0.45,338,0,0.0,Clear,clear sky,3
Kőbánya felső,47.491944,19.133889,2026-08-06 03:02:41.567979,25.25,25.01,23.65,25.42,1015,45,1.15,142,0,0.0,Clear,clear sky,3
Rákos,47.488889,19.174722,2026-08-06 03:02:42.741062,25.25,24.98,23.61,25.38,1015,44,1.19,140,0,0.0,Clear,clear sky,3
Rákosrendező,47.525556,19.089444,2026-08-06 03:02:43.914037,25.21,24.96,23.75,25.53,1015,45,1.01,141,0,0.0,Clear,clear sky,3
Zugló,47.511389,19.101389,2026-08-06 03:02:45.078592,25.18,24.93,23.71,25.49,1015,45,1.01,141,0,0.0,Clear,clear sky,3
Mezőtárkány,47.725,20.480278,2026-08-06 03:02:46.256475,25.16,24.78,25.16,25.16,1016,40,1.81,61,0,0.0,Clear,clear sky,3
Istvántelek,47.550278,19.106389,2026-08-06 03:02:47.421988,25.37,25.14,23.74,25.51,1015,45,0.93,134,0,0.0,Clear,clear sky,3
Rákospalota-Újpest,47.565833,19.111944,2026-08-06 03:02:48.585993,25.44,25.21,23.73,25.51,1015,45,0.86,125,0,0.0,Clear,clear sky,3
Kőbánya alsó,47.483056,19.127222,2026-08-06 03:02:49.752230,25.13,24.87,23.66,25.44,1015,45,0.45,338,0,0.0,Clear,clear sky,3
Kőbánya-Kispest,47.463889,19.149444,2026-08-06 03:02:50.918241,25.22,24.97,23.66,25.44,1015,45,1.21,146,0,0.0,Clear,clear sky,3
Pestszentlőrinc,47.454722,19.182778,2026-08-06 03:02:52.085298,25.13,24.85,23.6,25.38,1015,44,1.33,146,0,0.0,Clear,clear sky,3
Kispest,47.448135,19.157552,2026-08-06 03:02:53.254132,25.18,24.93,23.67,25.44,1015,45,1.26,150,0,0.0,Clear,clear sky,3
Újpest,47.558889,19.079722,2026-08-06 03:02:54.423176,25.24,24.99,23.74,25.51,1015,45,0.84,140,0,0.0,Clear,clear sky,3
Pestszentimre felső,47.413611,19.173333,2026-08-06 03:02:55.589326,23.86,23.5,23.69,25.47,1015,46,1.37,148,0,0.0,Clear,clear sky,3
Dunakeszi,47.626111,19.136111,2026-08-06 03:02:56.755759,25.38,25.15,23.64,25.41,1015,45,0.83,102,0,0.0,Clear,clear sky,3
Dunakeszi-Gyártelep,47.643611,19.135,2026-08-06 03:02:57.920459,25.42,25.19,23.68,25.46,1015,45,0.84,91,0,0.0,Clear,clear sky,3
Alsógöd,47.676944,19.134444,2026-08-06 03:02:59.088712,25.4,24.99,23.67,25.45,1015,38,0.88,81,0,0.0,Clear,clear sky,3
Göd,47.687778,19.1375,2026-08-06 03:03:00.263945,25.41,25.0,23.69,25.47,1015,38,0.88,81,0,0.0,Clear,clear sky,3
Felsőgöd,47.705556,19.143333,2026-08-06 03:03:01.437242,25.51,25.11,25.1,25.51,1015,38,0.94,73,0,0.0,Clear,clear sky,3
