station_name,station_lat,station_lon,observation_time,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds,precipitation_1h,weather_main,weather_description,collection_hour
Búcsúszentlászló,46.793056,16.932778,2026-08-17 07:11:17.037885,26.51,26.51,23.84,26.51,1011,33,2.1,343,100,0.0,Clouds,overcast clouds,7
Angyalföld,47.549722,19.09,2026-08-17 07:11:18.190294,26.3,26.3,25.23,27.6,1010,46,1.03,0,100,0.0,Clouds,overcast clouds,7
Felsőjánosfa,46.841389,16.544167,2026-08-17 07:11:19.349623,26.2,26.2,26.2,26.2,1011,69,1.33,6,100,0.0,Clouds,overcast clouds,7
Pankasz,46.835833,16.496111,2026-08-17 07:11:20.507561,22.66,22.78,22.66,22.66,1011,69,1.26,4,100,0.0,Clouds,overcast clouds,7
Nagyrákos,46.827222,16.455556,2026-08-17 07:11:21.663967,22.6,22.72,22.6,22.6,1011,69,1.21,3,100,0.0,Clouds,overcast clouds,7
Őriszentpéter,46.828889,16.415278,2026-08-17 07:11:22.828719,22.69,22.82,22.69,22.69,1011,69,1.08,358,100,0.0,Clouds,overcast clouds,7
Törökbálint,47.45,18.908611,2026-08-17 07:11:23.976123,25.89,25.74,25.0,27.01,1010,46,0.45,206,93,0.0,Clouds,overcast clouds,7
Bicske alsó,47.486389,18.642778,2026-08-17 07:11:25.124611,25.58,25.24,25.08,27.27,1011,40,2.3,287,58,0.0,Clouds,broken clouds,7
Bajánsenye,46.818056,16.358056,2026-08-17 07:11:26.272919,22.79,22.95,22.79,22.79,1011,70,0.95,345,100,0.0,Clouds,overcast clouds,7
Aquincum,47.566218,19.048273,2026-08-17 07:11:27.425045,26.42,26.42,25.25,27.63,1010,46,0.45,84,100,0.0,Clouds,overcast clouds,7
Piliscsév,47.673889,18.791389,2026-08-17 07:11:28.578645,25.16,25.04,25.0,26.85,1011,50,1.78,295,84,0.0,Clouds,broken clouds,7
Tát,47.741201,18.64783,2026-08-17 07:11:29.730484,25.4,25.3,25.4,27.62,1011,50,1.89,314,94,0.0,Clouds,overcast clouds,7
Süttő felső,47.756667,18.437222,2026-08-17 07:11:30.878703,25.43,25.52,25.43,25.43,1011,57,2.13,317,98,0.0,Clouds,overcast clouds,7
Budatétény,47.405,19.016389,2026-08-17 07:11:32.034311,26.2,26.2,25.29,27.3,1010,45,1.03,0,100,0.0,Clouds,overcast clouds,7
Seregélyes-Szőlőhegy,47.119444,18.612222,2026-08-17 07:11:33.186292,25.34,24.97,25.34,25.34,1010,40,2.8,247,100,0.0,Clouds,overcast clouds,7
Gödöllő-Állami telepek,47.564444,19.375556,2026-08-17 07:11:34.343725,25.63,25.32,24.74,26.75,1011,41,1.03,0,93,0.0,Clouds,overcast clouds,7
Dunakeszi alsó,47.607778,19.128889,2026-08-17 07:11:35.499995,26.31,26.31,25.22,27.6,1011,46,0.45,84,99,0.0,Clouds,overcast clouds,7
Vác-Alsóváros,47.773056,19.149722,2026-08-17 07:11:36.653470,27.72,27.09,26.06,27.94,1011,34,1.46,277,87,0.0,Clouds,overcast clouds,7
Szob alsó,47.816667,18.8725,2026-08-17 07:11:37.807969,25.39,25.29,25.39,27.61,1011,50,1.88,303,99,0.0,Clouds,overcast clouds,7
Zalaszentmihály-Pacsa,46.7225,16.951944,2026-08-17 07:11:38.969097,26.42,26.42,23.75,26.42,1011,33,3.6,320,99,0.0,Clouds,overcast clouds,7
Pötréte,46.682778,16.9575,2026-08-17 07:11:40.121800,23.75,23.67,23.75,26.42,1011,57,3.6,320,95,0.0,Clouds,overcast clouds,7
Felsőrajk,46.667222,16.982778,2026-08-17 07:11:41.279575,23.81,23.73,23.81,26.48,1011,57,3.6,320,96,0.0,Clouds,overcast clouds,7
Gelse,46.600556,16.982778,2026-08-17 07:11:42.433371,23.81,23.73,23.81,26.48,1011,57,3.6,320,91,0.0,Clouds,overcast clouds,7
Őrtilos,46.297778,16.887778,2026-08-17 07:11:43.588455,24.05,24.08,24.05,24.05,1011,60,1.99,301,83,0.0,Clouds,broken clouds,7
Zákány,46.251944,16.9425,2026-08-17 07:11:44.740958,23.91,23.92,23.91,23.91,1011,60,2.06,298,79,0.0,Clouds,broken clouds,7
Berzence,46.201389,17.143611,2026-08-17 07:11:45.892978,24.39,24.43,24.39,24.39,1011,59,1.95,298,82,0.0,Clouds,broken clouds,7
Somogyudvarhely,46.163333,17.179722,2026-08-17 07:11:47.041708,24.43,24.44,24.43,24.43,1011,58,1.87,298,84,0.0,Clouds,broken clouds,7
Bélavár,46.122778,17.207778,2026-08-17 07:11:48.192342,24.61,24.61,24.61,24.61,1011,57,1.69,300,87,0.0,Clouds,overcast clouds,7
Vízvár,46.101389,17.239444,2026-08-17 07:11:49.350775,24.59,24.57,24.59,24.59,1011,56,1.61,301,89,0.0,Clouds,overcast clouds,7
