station_name,station_lat,station_lon,observation_time,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds,precipitation_1h,weather_main,weather_description,collection_hour
Búcsúszentlászló,46.793056,16.932778,2026-04-28 09:57:19.056645,17.84,16.85,17.84,17.84,1019,45,2.45,89,92,0.0,Clouds,overcast clouds,9
Angyalföld,47.549722,19.09,2026-04-28 09:57:20.214045,17.68,16.37,16.23,18.28,1020,33,3.09,80,0,0.0,Clear,clear sky,9
Felsőjánosfa,46.841389,16.544167,2026-04-28 09:57:21.379289,17.81,16.8,17.81,17.81,1019,44,2.25,71,100,0.0,Clouds,overcast clouds,9
Pankasz,46.835833,16.496111,2026-04-28 09:57:22.524067,17.51,16.47,17.51,17.51,1019,44,2.27,73,100,0.0,Clouds,overcast clouds,9
Nagyrákos,46.827222,16.455556,2026-04-28 09:57:23.681720,17.47,16.45,17.47,17.47,1019,45,2.29,74,100,0.0,Clouds,overcast clouds,9
Őriszentpéter,46.828889,16.415278,2026-04-28 09:57:24.836457,17.57,16.56,17.57,17.57,1019,45,2.34,78,100,0.0,Clouds,overcast clouds,9
Törökbálint,47.45,18.908611,2026-04-28 09:57:25.989969,16.96,15.6,16.0,18.05,1020,34,2.97,76,100,0.0,Clouds,overcast clouds,9
Bicske alsó,47.486389,18.642778,2026-04-28 09:57:27.144973,16.16,14.82,16.16,16.34,1020,38,3.0,84,100,0.0,Clouds,overcast clouds,9
Bajánsenye,46.818056,16.358056,2026-04-28 09:57:28.308077,17.69,16.69,17.69,17.69,1019,45,2.35,82,99,0.0,Clouds,overcast clouds,9
Aquincum,47.566218,19.048273,2026-04-28 09:57:29.469391,17.51,16.18,16.25,18.3,1020,33,0.89,156,99,0.0,Clouds,overcast clouds,9
Piliscsév,47.673889,18.791389,2026-04-28 09:57:30.623442,16.21,14.8,16.1,17.89,1020,35,2.37,112,100,0.0,Clouds,overcast clouds,9
Tát,47.741201,18.64783,2026-04-28 09:57:31.777226,16.51,15.16,16.51,16.51,1020,36,1.87,130,100,0.0,Clouds,overcast clouds,9
Süttő felső,47.756667,18.437222,2026-04-28 09:57:32.938824,17.27,15.99,17.27,17.27,1020,36,1.24,120,100,0.0,Clouds,overcast clouds,9
Budatétény,47.405,19.016389,2026-04-28 09:57:34.094069,17.62,16.3,16.29,18.34,1020,33,3.09,80,0,0.0,Clear,clear sky,9
Seregélyes-Szőlőhegy,47.119444,18.612222,2026-04-28 09:57:35.258910,17.22,16.02,17.22,17.22,1020,39,3.21,65,100,0.0,Clouds,overcast clouds,9
