station_name,station_lat,station_lon,observation_time,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds,precipitation_1h,weather_main,weather_description,collection_hour
Búcsúszentlászló,46.793056,16.932778,2026-05-18 01:08:59.249956,5.84,4.7,5.84,5.84,1016,91,1.67,290,0,0.0,Clear,clear sky,1
Angyalföld,47.549722,19.09,2026-05-18 01:09:00.414519,9.16,7.45,8.16,10.09,1013,90,3.09,290,100,0.0,Clouds,overcast clouds,1
Felsőjánosfa,46.841389,16.544167,2026-05-18 01:09:01.590754,8.1,7.37,8.1,8.1,1017,90,1.6,283,0,0.0,Clear,clear sky,1
Pankasz,46.835833,16.496111,2026-05-18 01:09:02.755361,7.81,7.11,7.81,7.81,1016,90,1.54,280,0,0.0,Clear,clear sky,1
Nagyrákos,46.827222,16.455556,2026-05-18 01:09:03.941882,7.77,7.09,7.77,7.77,1016,89,1.51,279,0,0.0,Clear,clear sky,1
Őriszentpéter,46.828889,16.415278,2026-05-18 01:09:05.112913,7.88,7.33,7.88,7.88,1016,89,1.42,276,0,0.0,Clear,clear sky,1
Törökbálint,47.45,18.908611,2026-05-18 01:09:06.289123,8.94,8.62,7.94,9.78,1013,90,1.34,298,99,0.0,Clouds,overcast clouds,1
Bicske alsó,47.486389,18.642778,2026-05-18 01:09:07.454718,8.05,5.69,7.83,9.67,1013,93,3.84,317,100,0.0,Clouds,overcast clouds,1
Bajánsenye,46.818056,16.358056,2026-05-18 01:09:08.627539,7.99,7.99,7.99,7.99,1016,89,1.28,277,0,0.0,Clear,clear sky,1
Aquincum,47.566218,19.048273,2026-05-18 01:09:09.791708,9.13,7.67,8.19,10.11,1013,90,2.68,282,100,0.0,Clouds,overcast clouds,1
Piliscsév,47.673889,18.791389,2026-05-18 01:09:10.956637,7.96,6.3,7.77,9.62,1013,97,2.64,315,99,0.0,Clouds,overcast clouds,1
Tát,47.741201,18.64783,2026-05-18 01:09:12.122182,8.18,6.96,8.18,8.18,1013,94,2.13,294,100,0.0,Clouds,overcast clouds,1
Süttő felső,47.756667,18.437222,2026-05-18 01:09:13.288722,9.02,7.81,9.02,9.02,1014,92,2.3,278,96,0.0,Clouds,overcast clouds,1
Budatétény,47.405,19.016389,2026-05-18 01:09:14.455031,9.2,7.5,8.23,10.15,1013,89,3.09,290,100,0.0,Clouds,overcast clouds,1
Seregélyes-Szőlőhegy,47.119444,18.612222,2026-05-18 01:09:15.622823,9.36,7.1,9.36,9.36,1014,89,4.25,297,94,0.0,Clouds,overcast clouds,1
Gödöllő-Állami telepek,47.564444,19.375556,2026-05-18 01:09:16.793306,9.23,7.53,8.38,9.6,1013,97,3.09,290,100,0.0,Clouds,overcast clouds,1
Dunakeszi alsó,47.607778,19.128889,2026-05-18 01:09:17.975470,9.04,7.56,8.16,10.08,1013,90,2.68,282,97,0.97,Rain,light rain,1
Vác-Alsóváros,47.773056,19.149722,2026-05-18 01:09:19.147362,8.84,7.93,8.14,8.84,1013,94,1.9,297,100,0.0,Clouds,overcast clouds,1
Szob alsó,47.816667,18.8725,2026-05-18 01:09:20.318339,8.17,7.04,8.17,8.17,1013,94,2.02,284,99,0.0,Clouds,overcast clouds,1
Zalaszentmihály-Pacsa,46.7225,16.951944,2026-05-18 01:09:21.484089,5.75,4.18,5.75,5.75,1017,93,2.06,300,0,0.0,Clear,clear sky,1
Pötréte,46.682778,16.9575,2026-05-18 01:09:22.654221,5.75,4.18,5.75,5.75,1017,93,2.06,300,0,0.0,Clear,clear sky,1
Felsőrajk,46.667222,16.982778,2026-05-18 01:09:23.821564,5.81,4.25,5.81,5.81,1016,93,2.06,300,0,0.0,Clear,clear sky,1
Gelse,46.600556,16.982778,2026-05-18 01:09:24.987328,5.81,4.25,5.81,5.81,1017,93,2.06,300,0,0.0,Clear,clear sky,1
Őrtilos,46.297778,16.887778,2026-05-18 01:09:26.164284,8.86,7.64,8.86,8.86,1017,88,2.27,292,6,0.0,Clear,clear sky,1
Zákány,46.251944,16.9425,2026-05-18 01:09:27.335071,8.7,7.23,8.7,8.7,1017,88,2.58,293,4,0.0,Clear,clear sky,1
Berzence,46.201389,17.143611,2026-05-18 01:09:28.501183,9.03,7.44,9.03,9.03,1017,88,2.85,293,5,0.0,Clear,clear sky,1
Somogyudvarhely,46.163333,17.179722,2026-05-18 01:09:29.673832,9.02,7.48,9.02,9.02,1017,88,2.77,293,6,0.0,Clear,clear sky,1
Bélavár,46.122778,17.207778,2026-05-18 01:09:30.842424,9.12,7.77,9.12,9.12,1017,88,2.52,293,7,0.0,Clear,clear sky,1
Vízvár,46.101389,17.239444,2026-05-18 01:09:32.011404,9.04,7.75,9.04,9.04,1016,88,2.41,292,6,0.0,Clear,clear sky,1
Babócsa,46.028359,17.342276,2026-05-18 01:09:33.177475,9.06,7.89,9.06,9.06,1016,88,2.26,289,4,0.0,Clear,clear sky,1
Péterhida-Komlósd,46.006667,17.358056,2026-05-18 01:09:34.361188,9.12,8.0,9.12,9.12,1016,88,2.21,287,5,0.0,Clear,clear sky,1
