station_name,station_lat,station_lon,observation_time,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds,precipitation_1h,weather_main,weather_description,collection_hour
Búcsúszentlászló,46.793056,16.932778,2026-07-21 15:45:06.931938,25.96,25.96,25.96,25.96,1017,47,4.86,1,100,0.0,Clouds,overcast clouds,15
Angyalföld,47.549722,19.09,2026-07-21 15:45:08.158261,25.17,24.6,24.27,25.96,1016,33,4.02,318,78,0.0,Clouds,broken clouds,15
Felsőjánosfa,46.841389,16.544167,2026-07-21 15:45:09.389505,25.65,25.79,25.65,25.65,1018,58,3.64,359,100,0.0,Clouds,overcast clouds,15
Pankasz,46.835833,16.496111,2026-07-21 15:45:10.621624,22.61,22.49,22.61,22.61,1018,60,3.7,0,100,0.0,Clouds,overcast clouds,15
Nagyrákos,46.827222,16.455556,2026-07-21 15:45:11.855672,22.55,22.43,22.55,22.55,1018,60,3.72,1,100,0.0,Clouds,overcast clouds,15
Őriszentpéter,46.828889,16.415278,2026-07-21 15:45:13.089714,22.64,22.55,22.64,22.64,1018,61,3.7,2,100,0.0,Clouds,overcast clouds,15
Törökbálint,47.45,18.908611,2026-07-21 15:45:14.321372,25.31,24.71,24.05,25.74,1016,31,2.24,305,87,0.0,Clouds,overcast clouds,15
Bicske alsó,47.486389,18.642778,2026-07-21 15:45:15.555047,24.83,24.18,23.94,25.62,1016,31,6.52,322,92,0.0,Clouds,overcast clouds,15
Bajánsenye,46.818056,16.358056,2026-07-21 15:45:16.788132,22.72,22.67,22.72,22.72,1018,62,3.83,5,100,0.0,Clouds,overcast clouds,15
Aquincum,47.566218,19.048273,2026-07-21 15:45:18.015453,25.07,24.49,24.3,25.99,1016,33,4.02,318,83,0.0,Clouds,broken clouds,15
Piliscsév,47.673889,18.791389,2026-07-21 15:45:19.246958,24.08,23.46,23.88,25.12,1016,35,4.45,318,89,0.0,Clouds,overcast clouds,15
Tát,47.741201,18.64783,2026-07-21 15:45:20.475599,24.29,23.61,24.29,24.29,1016,32,4.69,321,89,0.0,Clouds,overcast clouds,15
