station_name,station_lat,station_lon,observation_time,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds,precipitation_1h,weather_main,weather_description,collection_hour
Búcsúszentlászló,46.793056,16.932778,2026-04-23 15:45:21.718185,17.84,16.78,17.84,17.84,1017,42,6.12,334,58,0.0,Clouds,broken clouds,15
Angyalföld,47.549722,19.09,2026-04-23 15:45:22.950500,17.87,16.44,16.67,19.29,1014,28,8.75,320,0,0.0,Clear,clear sky,15
Felsőjánosfa,46.841389,16.544167,2026-04-23 15:45:24.203110,17.94,16.78,17.94,17.94,1018,38,5.23,354,47,0.0,Clouds,scattered clouds,15
Pankasz,46.835833,16.496111,2026-04-23 15:45:25.472870,17.65,16.49,17.65,17.65,1018,39,5.12,357,48,0.0,Clouds,scattered clouds,15
Nagyrákos,46.827222,16.455556,2026-04-23 15:45:26.735393,17.61,16.44,17.61,17.61,1018,39,5.02,358,50,0.0,Clouds,scattered clouds,15
Őriszentpéter,46.828889,16.415278,2026-04-23 15:45:27.999570,17.72,16.57,17.72,17.72,1018,39,4.73,359,56,0.0,Clouds,broken clouds,15
Törökbálint,47.45,18.908611,2026-04-23 15:45:29.232775,17.75,16.34,16.45,19.07,1014,29,5.36,334,21,0.0,Clouds,few clouds,15
Bicske alsó,47.486389,18.642778,2026-04-23 15:45:30.479267,16.67,15.41,16.34,18.95,1014,39,9.04,326,34,0.0,Clouds,scattered clouds,15
Bajánsenye,46.818056,16.358056,2026-04-23 15:45:31.745265,17.77,16.65,17.77,17.77,1018,40,4.44,359,60,0.0,Clouds,broken clouds,15
Aquincum,47.566218,19.048273,2026-04-23 15:45:33.011580,17.76,16.35,16.7,19.32,1014,29,4.92,305,9,0.0,Clear,clear sky,15
Piliscsév,47.673889,18.791389,2026-04-23 15:45:34.280900,16.69,15.2,16.29,18.45,1014,30,7.89,317,8,0.0,Clear,clear sky,15
Tát,47.741201,18.64783,2026-04-23 15:45:35.516628,17.07,15.82,17.07,17.07,1015,38,7.81,318,18,0.0,Clouds,few clouds,15
Süttő felső,47.756667,18.437222,2026-04-23 15:45:36.762795,17.51,16.33,17.51,17.51,1015,39,8.13,322,32,0.0,Clouds,scattered clouds,15
