station_name,station_lat,station_lon,observation_time,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds,precipitation_1h,weather_main,weather_description,collection_hour
Búcsúszentlászló,46.793056,16.932778,2026-07-20 18:51:08.455175,22.8,22.65,22.8,22.8,1017,58,3.3,4,67,0.0,Clouds,broken clouds,18
Angyalföld,47.549722,19.09,2026-07-20 18:51:09.616575,23.83,23.55,23.31,24.95,1017,49,0.89,298,0,0.0,Clear,clear sky,18
Felsőjánosfa,46.841389,16.544167,2026-07-20 18:51:10.771519,22.33,22.34,22.33,22.33,1017,66,2.7,30,100,0.0,Clouds,overcast clouds,18
Pankasz,46.835833,16.496111,2026-07-20 18:51:11.924420,22.03,22.01,22.03,22.03,1017,66,2.73,29,100,0.0,Clouds,overcast clouds,18
Nagyrákos,46.827222,16.455556,2026-07-20 18:51:13.090278,22.0,21.98,22.0,22.0,1017,66,2.73,28,100,0.0,Clouds,overcast clouds,18
Őriszentpéter,46.828889,16.415278,2026-07-20 18:51:14.250877,22.14,22.13,22.14,22.14,1017,66,2.69,26,100,0.0,Clouds,overcast clouds,18
Törökbálint,47.45,18.908611,2026-07-20 18:51:15.409444,23.99,23.7,23.08,24.72,1016,48,1.34,288,18,0.0,Clouds,few clouds,18
Bicske alsó,47.486389,18.642778,2026-07-20 18:51:16.561219,23.82,23.51,23.01,24.5,1017,48,3.3,278,5,0.25,Rain,light rain,18
Bajánsenye,46.818056,16.358056,2026-07-20 18:51:17.729881,22.26,22.24,22.26,22.26,1017,65,2.7,28,100,0.0,Clouds,overcast clouds,18
Aquincum,47.566218,19.048273,2026-07-20 18:51:18.895224,23.73,23.44,23.34,24.97,1017,49,0.89,298,0,0.0,Clear,clear sky,18
Piliscsév,47.673889,18.791389,2026-07-20 18:51:20.053542,23.31,23.05,22.4,24.56,1017,52,2.53,275,0,0.0,Clear,clear sky,18
