station_name,station_lat,station_lon,observation_time,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds,precipitation_1h,weather_main,weather_description,collection_hour
Búcsúszentlászló,46.793056,16.932778,2026-09-22 18:36:20.175211,14.84,13.79,14.84,14.84,1025,54,4.08,346,2,0.0,Clear,clear sky,18
Angyalföld,47.549722,19.09,2026-09-22 18:36:21.427331,13.27,12.4,12.23,14.23,1023,67,5.14,330,2,0.0,Clear,clear sky,18
Felsőjánosfa,46.841389,16.544167,2026-09-22 18:36:22.656295,13.83,12.7,13.83,13.83,1025,55,4.2,355,2,0.0,Clear,clear sky,18
Pankasz,46.835833,16.496111,2026-09-22 18:36:23.870981,13.51,12.38,13.51,13.51,1025,56,4.05,356,1,0.0,Clear,clear sky,18
Nagyrákos,46.827222,16.455556,2026-09-22 18:36:25.090504,13.45,12.31,13.45,13.45,1025,56,4.07,356,1,0.0,Clear,clear sky,18
Őriszentpéter,46.828889,16.415278,2026-09-22 18:36:26.297100,13.54,12.41,13.54,13.54,1025,56,4.22,358,1,0.0,Clear,clear sky,18
Törökbálint,47.45,18.908611,2026-09-22 18:36:27.552460,12.74,11.85,12.01,14.0,1023,68,3.13,305,1,0.0,Clear,clear sky,18
Bicske alsó,47.486389,18.642778,2026-09-22 18:36:28.780078,12.47,11.52,11.9,12.86,1023,67,4.49,333,2,0.0,Clear,clear sky,18
Bajánsenye,46.818056,16.358056,2026-09-22 18:36:29.999191,13.63,12.54,13.63,13.63,1025,57,4.28,359,2,0.0,Clear,clear sky,18
Aquincum,47.566218,19.048273,2026-09-22 18:36:31.226612,13.18,12.33,12.26,14.25,1023,68,3.58,283,2,0.0,Clear,clear sky,18
Piliscsév,47.673889,18.791389,2026-09-22 18:36:32.432133,12.62,11.87,11.85,13.45,1023,74,4.08,334,7,0.0,Clear,clear sky,18
Tát,47.741201,18.64783,2026-09-22 18:36:33.687223,13.5,12.81,12.62,13.5,1023,73,0.3,359,15,0.0,Clouds,few clouds,18
Süttő felső,47.756667,18.437222,2026-09-22 18:36:34.919332,13.53,12.79,13.53,13.53,1023,71,2.99,320,20,0.0,Clouds,few clouds,18
Budatétény,47.405,19.016389,2026-09-22 18:36:36.134319,13.43,12.55,12.3,14.29,1023,66,5.14,330,1,0.0,Clear,clear sky,18
Seregélyes-Szőlőhegy,47.119444,18.612222,2026-09-22 18:36:37.346971,13.05,12.11,13.05,13.05,1023,65,4.15,328,3,0.0,Clear,clear sky,18
Gödöllő-Állami telepek,47.564444,19.375556,2026-09-22 18:36:38.556446,13.0,12.11,12.23,13.74,1023,67,5.14,330,3,0.0,Clear,clear sky,18
Dunakeszi alsó,47.607778,19.128889,2026-09-22 18:36:39.809975,13.13,12.27,12.23,14.22,1023,68,3.58,283,3,0.0,Clear,clear sky,18
Vác-Alsóváros,47.773056,19.149722,2026-09-22 18:36:41.054257,12.77,11.88,12.58,13.28,1023,68,3.61,321,5,0.0,Clear,clear sky,18
Szob alsó,47.816667,18.8725,2026-09-22 18:36:42.280053,13.49,12.8,12.61,13.49,1023,73,3.7,329,11,0.0,Clouds,few clouds,18
Zalaszentmihály-Pacsa,46.7225,16.951944,2026-09-22 18:36:43.502890,14.75,13.51,14.75,14.75,1025,47,4.63,360,2,0.0,Clear,clear sky,18
Pötréte,46.682778,16.9575,2026-09-22 18:36:44.707966,14.75,13.51,14.75,14.75,1025,47,4.63,360,2,0.0,Clear,clear sky,18
Felsőrajk,46.667222,16.982778,2026-09-22 18:36:45.981779,14.81,13.57,14.81,14.81,1025,47,4.63,360,2,0.0,Clear,clear sky,18
Gelse,46.600556,16.982778,2026-09-22 18:36:47.216572,14.81,13.57,14.81,14.81,1025,47,4.63,360,1,0.0,Clear,clear sky,18
Őrtilos,46.297778,16.887778,2026-09-22 18:36:48.440978,14.2,13.06,14.2,14.2,1025,53,3.8,3,3,0.0,Clear,clear sky,18
Zákány,46.251944,16.9425,2026-09-22 18:36:49.663735,13.88,12.73,13.88,13.88,1025,54,3.75,5,4,0.0,Clear,clear sky,18
Berzence,46.201389,17.143611,2026-09-22 18:36:50.869408,14.09,13.02,14.09,14.09,1025,56,4.05,359,2,0.0,Clear,clear sky,18
Somogyudvarhely,46.163333,17.179722,2026-09-22 18:36:52.140328,14.04,12.96,14.04,14.04,1025,56,4.03,357,3,0.0,Clear,clear sky,18
Bélavár,46.122778,17.207778,2026-09-22 18:36:53.390321,14.06,12.98,14.06,14.06,1025,56,3.98,357,5,0.0,Clear,clear sky,18
Vízvár,46.101389,17.239444,2026-09-22 18:36:54.605104,13.93,12.87,13.93,13.93,1025,57,3.94,357,5,0.0,Clear,clear sky,18
Babócsa,46.028359,17.342276,2026-09-22 18:36:55.819865,13.92,12.86,13.92,13.92,1024,57,3.95,356,6,0.0,Clear,clear sky,18
Péterhida-Komlósd,46.006667,17.358056,2026-09-22 18:36:57.032080,13.97,12.94,13.97,13.97,1024,58,4.06,356,5,0.0,Clear,clear sky,18
Barcs,45.951944,17.446944,2026-09-22 18:36:58.296145,13.95,12.92,13.95,13.95,1024,58,4.34,356,4,0.0,Clear,clear sky,18
Barcs felső,45.958333,17.486389,2026-09-22 18:36:59.530818,13.87,12.83,13.87,13.87,1024,58,4.38,356,4,0.0,Clear,clear sky,18
Középrigóc,45.970556,17.525,2026-09-22 18:37:00.748298,13.79,12.74,13.79,13.79,1024,58,4.4,355,4,0.0,Clear,clear sky,18
Darány,45.992222,17.598611,2026-09-22 18:37:01.976232,13.81,12.73,13.81,13.81,1024,57,4.35,352,5,0.0,Clear,clear sky,18
Kisdobsza,46.012222,17.668056,2026-09-22 18:37:03.187184,13.85,12.81,13.85,13.85,1024,58,4.17,350,7,0.0,Clear,clear sky,18
Nemeske,46.023333,17.705278,2026-09-22 18:37:04.438761,13.86,12.82,13.86,13.86,1024,58,4.04,350,8,0.0,Clear,clear sky,18
Molvány,46.035278,17.748611,2026-09-22 18:37:05.667394,13.82,12.8,13.82,13.82,1024,59,3.82,349,7,0.0,Clear,clear sky,18
Szigetvár,46.043333,17.801944,2026-09-22 18:37:06.882899,13.75,12.72,13.75,13.75,1024,59,3.72,348,8,0.0,Clear,clear sky,18
Nagypeterd,46.039444,17.871667,2026-09-22 18:37:08.104672,13.53,12.51,13.53,13.53,1024,60,3.53,347,8,0.0,Clear,clear sky,18
Szentdénes,46.036667,17.926944,2026-09-22 18:37:09.310946,13.48,12.48,13.48,13.48,1024,61,3.45,346,8,0.0,Clear,clear sky,18
Háros,47.412222,19.035,2026-09-22 18:37:10.563263,13.36,12.47,12.26,14.25,1023,66,5.14,330,1,0.0,Clear,clear sky,18
Nagytétény-Diósd,47.398333,18.974444,2026-09-22 18:37:11.800459,13.26,12.39,12.29,14.29,1023,67,4.87,332,1,0.0,Clear,clear sky,18
Érdliget,47.390278,18.937778,2026-09-22 18:37:13.014251,13.05,12.16,12.21,14.2,1023,67,5.1,332,1,0.0,Clear,clear sky,18
Érd felső,47.381111,18.922222,2026-09-22 18:37:14.233402,12.99,12.09,12.18,14.17,1023,67,5.28,333,1,0.0,Clear,clear sky,18
Érd,47.369722,18.900833,2026-09-22 18:37:15.439328,12.92,12.02,12.14,14.13,1023,67,5.25,333,1,0.0,Clear,clear sky,18
Százhalombatta,47.322222,18.899167,2026-09-22 18:37:16.698003,12.93,12.03,12.12,14.12,1023,67,5.1,334,2,0.0,Clear,clear sky,18
Dunai Finomító,47.294444,18.878889,2026-09-22 18:37:17.931197,12.66,11.7,11.96,13.57,1023,66,5.3,335,2,0.0,Clear,clear sky,18
Ercsi,47.247222,18.875278,2026-09-22 18:37:19.148313,12.9,11.94,12.19,13.79,1023,65,5.21,335,1,0.0,Clear,clear sky,18
Iváncsa,47.177778,18.811944,2026-09-22 18:37:20.372231,12.81,11.84,12.81,12.81,1023,65,4.87,333,1,0.0,Clear,clear sky,18
Pusztaszabolcs,47.139722,18.761667,2026-09-22 18:37:21.585111,12.94,11.99,12.94,12.94,1023,65,4.57,331,1,0.0,Clear,clear sky,18
Szabadegyháza,47.082778,18.704167,2026-09-22 18:37:22.837951,12.97,12.02,12.97,12.97,1023,65,4.23,329,2,0.0,Clear,clear sky,18
Sárosd,47.039722,18.660278,2026-09-22 18:37:24.072554,13.09,12.15,13.09,13.09,1023,65,4.08,327,1,0.0,Clear,clear sky,18
Nagylók,46.979444,18.635833,2026-09-22 18:37:25.294177,12.99,12.02,12.99,12.99,1023,64,4.31,325,1,0.0,Clear,clear sky,18
Sárbogárd,46.896944,18.611944,2026-09-22 18:37:26.521643,13.22,12.29,13.22,13.22,1023,65,4.29,323,1,0.0,Clear,clear sky,18
Rétszilas,46.814167,18.601389,2026-09-22 18:37:27.733634,13.28,12.41,13.28,13.28,1023,67,4.07,321,1,0.0,Clear,clear sky,18
Nagyatád,46.228611,17.354167,2026-09-22 18:37:28.992497,13.99,12.91,13.99,13.99,1024,56,4.08,356,6,0.0,Clear,clear sky,18
Budapest-Keleti,47.500278,19.084167,2026-09-22 18:37:30.220614,13.36,12.5,12.21,14.2,1023,67,5.14,330,2,0.0,Clear,clear sky,18
