station_name,station_lat,station_lon,observation_time,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds,precipitation_1h,weather_main,weather_description,collection_hour
Búcsúszentlászló,46.793056,16.932778,2026-05-30 09:48:36.153421,25.4,24.83,25.4,25.84,1018,32,2.47,354,99,0.0,Clouds,overcast clouds,9
Angyalföld,47.549722,19.09,2026-05-30 09:48:37.389457,23.14,22.61,22.05,24.23,1016,42,5.66,310,0,0.0,Clear,clear sky,9
Felsőjánosfa,46.841389,16.544167,2026-05-30 09:48:38.618841,25.09,24.54,25.09,25.09,1018,34,1.14,5,70,0.0,Clouds,broken clouds,9
Pankasz,46.835833,16.496111,2026-05-30 09:48:39.857405,25.02,24.49,25.02,25.02,1018,35,1.01,28,65,0.0,Clouds,broken clouds,9
Nagyrákos,46.827222,16.455556,2026-05-30 09:48:41.098997,24.97,24.44,24.97,24.97,1018,35,1.04,44,63,0.0,Clouds,broken clouds,9
Őriszentpéter,46.828889,16.415278,2026-05-30 09:48:42.330337,25.08,24.58,25.08,25.08,1018,36,1.31,70,62,0.0,Clouds,broken clouds,9
Törökbálint,47.45,18.908611,2026-05-30 09:48:43.571587,22.83,22.27,21.83,24.0,1016,42,2.68,300,100,0.0,Clouds,overcast clouds,9
Bicske alsó,47.486389,18.642778,2026-05-30 09:48:44.799800,21.72,21.07,21.72,23.39,1017,43,5.76,315,100,0.0,Clouds,overcast clouds,9
Bajánsenye,46.818056,16.358056,2026-05-30 09:48:46.041366,25.18,24.69,25.18,25.18,1018,36,1.46,63,60,0.0,Clouds,broken clouds,9
Aquincum,47.566218,19.048273,2026-05-30 09:48:47.269551,23.05,22.51,22.08,24.25,1016,42,1.79,318,100,0.0,Clouds,overcast clouds,9
Piliscsév,47.673889,18.791389,2026-05-30 09:48:48.503584,21.76,21.19,21.66,22.92,1016,46,3.74,306,100,0.0,Clouds,overcast clouds,9
Tát,47.741201,18.64783,2026-05-30 09:48:49.754133,22.07,21.59,22.07,22.07,1017,48,2.97,298,97,0.0,Clouds,overcast clouds,9
Süttő felső,47.756667,18.437222,2026-05-30 09:48:50.984567,22.92,22.57,22.92,22.92,1017,50,2.97,302,93,0.0,Clouds,overcast clouds,9
Budatétény,47.405,19.016389,2026-05-30 09:48:52.227302,23.52,22.95,22.12,24.29,1016,39,5.66,310,0,0.0,Clear,clear sky,9
Seregélyes-Szőlőhegy,47.119444,18.612222,2026-05-30 09:48:53.471280,23.84,23.3,23.84,23.84,1017,39,5.71,323,96,0.0,Clouds,overcast clouds,9
Gödöllő-Állami telepek,47.564444,19.375556,2026-05-30 09:48:54.702765,23.67,22.9,22.24,23.74,1016,31,5.66,310,0,0.0,Clear,clear sky,9
Dunakeszi alsó,47.607778,19.128889,2026-05-30 09:48:55.943566,23.15,22.64,22.05,24.22,1016,43,0.89,296,100,0.0,Clouds,overcast clouds,9
Vác-Alsóváros,47.773056,19.149722,2026-05-30 09:48:57.174542,23.28,22.84,22.03,23.28,1016,45,4.71,305,100,0.0,Clouds,overcast clouds,9
Szob alsó,47.816667,18.8725,2026-05-30 09:48:58.405783,22.06,21.52,22.06,22.06,1016,46,3.63,294,100,0.0,Clouds,overcast clouds,9
Zalaszentmihály-Pacsa,46.7225,16.951944,2026-05-30 09:48:59.645983,25.31,24.73,25.31,25.75,1018,32,2.57,0,0,0.0,Clear,clear sky,9
Pötréte,46.682778,16.9575,2026-05-30 09:49:00.878064,25.75,25.27,25.31,25.75,1018,34,2.57,0,0,0.0,Clear,clear sky,9
Felsőrajk,46.667222,16.982778,2026-05-30 09:49:02.109075,25.81,25.33,25.37,25.81,1018,34,2.57,0,0,0.0,Clear,clear sky,9
Gelse,46.600556,16.982778,2026-05-30 09:49:03.341682,25.81,25.33,25.37,25.81,1018,34,2.57,0,0,0.0,Clear,clear sky,9
Őrtilos,46.297778,16.887778,2026-05-30 09:49:04.573451,25.74,25.44,25.74,25.74,1018,41,2.64,321,50,0.0,Clouds,scattered clouds,9
Zákány,46.251944,16.9425,2026-05-30 09:49:05.830235,25.42,25.09,25.42,25.42,1018,41,2.43,311,49,0.0,Clouds,scattered clouds,9
Berzence,46.201389,17.143611,2026-05-30 09:49:07.061663,25.52,25.25,25.52,25.52,1018,43,2.45,301,60,0.0,Clouds,broken clouds,9
Somogyudvarhely,46.163333,17.179722,2026-05-30 09:49:08.294580,25.49,25.22,25.49,25.49,1018,43,2.5,299,62,0.0,Clouds,broken clouds,9
Bélavár,46.122778,17.207778,2026-05-30 09:49:09.528110,25.63,25.35,25.63,25.63,1018,42,2.55,296,67,0.0,Clouds,broken clouds,9
Vízvár,46.101389,17.239444,2026-05-30 09:49:10.758998,25.57,25.28,25.57,25.57,1018,42,2.57,295,70,0.0,Clouds,broken clouds,9
Babócsa,46.028359,17.342276,2026-05-30 09:49:11.987072,25.75,25.43,25.75,25.75,1018,40,2.64,294,75,0.0,Clouds,broken clouds,9
Péterhida-Komlósd,46.006667,17.358056,2026-05-30 09:49:13.221563,25.87,25.53,25.87,25.87,1018,39,2.67,293,74,0.0,Clouds,broken clouds,9
Barcs,45.951944,17.446944,2026-05-30 09:49:14.457883,25.81,25.49,25.81,25.81,1018,40,2.91,288,70,0.0,Clouds,broken clouds,9
Barcs felső,45.958333,17.486389,2026-05-30 09:49:15.691835,25.67,25.34,25.67,25.67,1018,40,3.0,289,68,0.0,Clouds,broken clouds,9
Középrigóc,45.970556,17.525,2026-05-30 09:49:16.924060,25.52,25.17,25.52,25.52,1018,40,3.09,290,66,0.0,Clouds,broken clouds,9
Darány,45.992222,17.598611,2026-05-30 09:49:18.167189,25.41,25.08,25.41,25.41,1018,41,3.36,295,63,0.0,Clouds,broken clouds,9
Kisdobsza,46.012222,17.668056,2026-05-30 09:49:19.406795,25.37,25.06,25.37,25.37,1018,42,3.51,298,63,0.0,Clouds,broken clouds,9
Nemeske,46.023333,17.705278,2026-05-30 09:49:20.646944,25.32,25.0,25.32,25.32,1018,42,3.61,297,61,0.0,Clouds,broken clouds,9
Molvány,46.035278,17.748611,2026-05-30 09:49:21.881515,25.22,24.92,25.22,25.22,1018,43,3.71,299,61,0.0,Clouds,broken clouds,9
Szigetvár,46.043333,17.801944,2026-05-30 09:49:23.113778,25.12,24.81,25.12,25.12,1018,43,3.78,298,60,0.0,Clouds,broken clouds,9
Nagypeterd,46.039444,17.871667,2026-05-30 09:49:24.352159,25.53,25.29,25.53,25.53,1018,44,3.92,297,58,0.0,Clouds,broken clouds,9
Szentdénes,46.036667,17.926944,2026-05-30 09:49:25.581882,25.48,25.26,25.48,25.48,1018,45,3.99,297,57,0.0,Clouds,broken clouds,9
Háros,47.412222,19.035,2026-05-30 09:49:26.813384,23.47,22.89,22.08,24.25,1016,39,5.66,310,0,0.0,Clear,clear sky,9
Nagytétény-Diósd,47.398333,18.974444,2026-05-30 09:49:28.048672,23.51,22.96,22.11,24.29,1016,40,2.68,300,100,0.0,Clouds,overcast clouds,9
Érdliget,47.390278,18.937778,2026-05-30 09:49:29.283481,23.36,22.8,22.03,24.2,1016,40,2.68,300,100,0.0,Clouds,overcast clouds,9
Érd felső,47.381111,18.922222,2026-05-30 09:49:30.518001,23.32,22.75,21.99,24.17,1016,40,2.68,300,100,0.0,Clouds,overcast clouds,9
Érd,47.369722,18.900833,2026-05-30 09:49:31.755559,23.26,22.69,21.96,24.13,1016,40,5.46,319,100,0.0,Clouds,overcast clouds,9
Százhalombatta,47.322222,18.899167,2026-05-30 09:49:32.990075,23.37,22.78,21.94,24.12,1016,39,5.56,320,100,0.0,Clouds,overcast clouds,9
Dunai Finomító,47.294444,18.878889,2026-05-30 09:49:34.223698,23.46,22.88,22.46,23.46,1016,39,5.68,321,100,0.0,Clouds,overcast clouds,9
Ercsi,47.247222,18.875278,2026-05-30 09:49:35.458039,23.69,23.16,22.68,23.69,1016,40,5.66,321,100,0.0,Clouds,overcast clouds,9
Iváncsa,47.177778,18.811944,2026-05-30 09:49:36.694920,23.65,23.09,23.65,23.65,1017,39,5.61,322,97,0.0,Clouds,overcast clouds,9
Pusztaszabolcs,47.139722,18.761667,2026-05-30 09:49:37.922142,23.8,23.25,23.8,23.8,1017,39,5.59,322,95,0.0,Clouds,overcast clouds,9
Szabadegyháza,47.082778,18.704167,2026-05-30 09:49:39.156972,23.86,23.29,23.86,23.86,1017,38,5.67,322,94,0.0,Clouds,overcast clouds,9
Sárosd,47.039722,18.660278,2026-05-30 09:49:40.388399,23.96,23.4,23.96,23.96,1017,38,5.76,322,92,0.0,Clouds,overcast clouds,9
Nagylók,46.979444,18.635833,2026-05-30 09:49:41.613638,23.9,23.34,23.9,23.9,1017,38,5.86,322,88,0.0,Clouds,overcast clouds,9
Sárbogárd,46.896944,18.611944,2026-05-30 09:49:42.847135,24.21,23.68,24.21,24.21,1017,38,5.99,323,85,0.0,Clouds,overcast clouds,9
Rétszilas,46.814167,18.601389,2026-05-30 09:49:44.084216,24.33,23.81,24.33,24.33,1017,38,6.05,324,82,0.0,Clouds,broken clouds,9
Nagyatád,46.228611,17.354167,2026-05-30 09:49:45.332722,25.25,24.93,25.25,25.25,1018,42,2.8,307,71,0.0,Clouds,broken clouds,9
Budapest-Keleti,47.500278,19.084167,2026-05-30 09:49:46.561589,23.03,22.46,22.03,24.2,1016,41,5.66,310,0,0.0,Clear,clear sky,9
Ferencváros,47.468611,19.088056,2026-05-30 09:49:47.798359,23.2,22.59,22.05,24.22,1016,39,5.66,310,0,0.0,Clear,clear sky,9
Budapest-Nyugati,47.510833,19.0575,2026-05-30 09:49:49.032358,23.04,22.5,22.04,24.21,1016,42,5.66,310,0,0.0,Clear,clear sky,9
Kőbánya felső,47.491944,19.133889,2026-05-30 09:49:50.269990,23.21,22.6,21.97,24.14,1016,39,5.66,310,0,0.0,Clear,clear sky,9
Rákos,47.488889,19.174722,2026-05-30 09:49:51.502616,23.37,22.75,21.93,24.1,1016,38,5.66,310,0,0.0,Clear,clear sky,9
Rákosrendező,47.525556,19.089444,2026-05-30 09:49:52.742114,23.11,22.57,22.07,24.25,1016,42,5.66,310,0,0.0,Clear,clear sky,9
Zugló,47.511389,19.101389,2026-05-30 09:49:53.972566,23.08,22.49,22.03,24.21,1016,40,5.66,310,0,0.0,Clear,clear sky,9
Mezőtárkány,47.725,20.480278,2026-05-30 09:49:55.205667,22.68,22.28,22.68,22.68,1015,49,5.58,320,99,0.0,Clouds,overcast clouds,9
Istvántelek,47.550278,19.106389,2026-05-30 09:49:56.438457,23.16,22.63,22.06,24.23,1016,42,5.66,310,0,0.0,Clear,clear sky,9
Rákospalota-Újpest,47.565833,19.111944,2026-05-30 09:49:57.668731,23.17,22.64,22.05,24.23,1016,42,5.66,310,0,0.0,Clear,clear sky,9
Kőbánya alsó,47.483056,19.127222,2026-05-30 09:49:58.899340,23.23,22.63,21.98,24.16,1016,39,5.66,310,0,0.0,Clear,clear sky,9
Kőbánya-Kispest,47.463889,19.149444,2026-05-30 09:50:00.136360,23.4,22.79,21.98,24.16,1016,38,5.66,310,0,0.0,Clear,clear sky,9
