station_name,station_lat,station_lon,observation_time,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds,precipitation_1h,weather_main,weather_description,collection_hour
Búcsúszentlászló,46.793056,16.932778,2026-04-21 19:23:34.079928,9.84,8.36,9.84,9.84,1018,69,2.93,331,22,0.0,Clouds,few clouds,19
Angyalföld,47.549722,19.09,2026-04-21 19:23:35.277257,9.23,8.73,8.71,9.42,1017,74,1.54,360,0,0.0,Clear,clear sky,19
Felsőjánosfa,46.841389,16.544167,2026-04-21 19:23:36.476849,9.54,8.01,9.54,9.54,1018,69,2.91,342,35,0.0,Clouds,scattered clouds,19
Pankasz,46.835833,16.496111,2026-04-21 19:23:37.679844,9.27,7.61,9.27,9.27,1018,69,3.05,345,32,0.0,Clouds,scattered clouds,19
Nagyrákos,46.827222,16.455556,2026-04-21 19:23:38.884251,9.23,7.53,9.23,9.23,1018,69,3.09,346,30,0.0,Clouds,scattered clouds,19
Őriszentpéter,46.828889,16.415278,2026-04-21 19:23:40.088102,9.35,7.67,9.35,9.35,1019,69,3.1,348,28,0.0,Clouds,scattered clouds,19
Törökbálint,47.45,18.908611,2026-04-21 19:23:41.287431,8.9,8.58,8.49,9.19,1017,76,1.34,296,93,0.0,Clouds,overcast clouds,19
Bicske alsó,47.486389,18.642778,2026-04-21 19:23:42.485360,8.83,7.06,8.38,8.97,1018,75,3.08,332,73,0.0,Clouds,broken clouds,19
Bajánsenye,46.818056,16.358056,2026-04-21 19:23:43.685911,9.47,7.83,9.47,9.47,1019,69,3.07,351,22,0.0,Clouds,few clouds,19
Aquincum,47.566218,19.048273,2026-04-21 19:23:44.895985,9.22,9.22,8.74,9.45,1017,74,0.89,1,100,0.0,Clouds,overcast clouds,19
Piliscsév,47.673889,18.791389,2026-04-21 19:23:46.096466,8.34,7.62,8.32,9.03,1018,87,1.62,345,85,0.0,Clouds,overcast clouds,19
Tát,47.741201,18.64783,2026-04-21 19:23:47.297424,8.73,7.56,8.73,8.73,1018,77,2.18,1,95,0.0,Clouds,overcast clouds,19
Süttő felső,47.756667,18.437222,2026-04-21 19:23:48.498216,8.84,7.51,8.84,8.84,1018,77,2.42,21,100,0.0,Clouds,overcast clouds,19
Budatétény,47.405,19.016389,2026-04-21 19:23:49.694237,9.27,8.77,8.78,9.49,1017,75,1.54,360,0,0.0,Clear,clear sky,19
Seregélyes-Szőlőhegy,47.119444,18.612222,2026-04-21 19:23:50.891946,8.89,6.76,8.89,8.89,1017,71,3.76,355,100,0.0,Clouds,overcast clouds,19
Gödöllő-Állami telepek,47.564444,19.375556,2026-04-21 19:23:52.092086,9.99,9.6,8.41,10.72,1017,79,1.54,360,0,0.0,Clear,clear sky,19
Dunakeszi alsó,47.607778,19.128889,2026-04-21 19:23:53.296917,9.21,8.84,8.71,9.41,1017,73,1.42,14,100,0.0,Clouds,overcast clouds,19
Vác-Alsóváros,47.773056,19.149722,2026-04-21 19:23:54.499370,9.39,8.16,8.69,9.39,1018,73,2.42,358,97,0.0,Clouds,overcast clouds,19
Szob alsó,47.816667,18.8725,2026-04-21 19:23:55.694455,8.72,7.95,8.72,8.72,1018,75,1.73,359,98,0.0,Clouds,overcast clouds,19
Zalaszentmihály-Pacsa,46.7225,16.951944,2026-04-21 19:23:56.894499,9.75,8.48,9.75,9.75,1018,66,2.57,340,0,0.0,Clear,clear sky,19
Pötréte,46.682778,16.9575,2026-04-21 19:23:58.090209,9.75,8.48,9.75,9.75,1018,66,2.57,340,0,0.0,Clear,clear sky,19
Felsőrajk,46.667222,16.982778,2026-04-21 19:23:59.290605,9.81,8.55,9.81,9.81,1018,66,2.57,340,0,0.0,Clear,clear sky,19
Gelse,46.600556,16.982778,2026-04-21 19:24:00.501265,9.81,8.55,9.81,9.81,1018,66,2.57,340,0,0.0,Clear,clear sky,19
Őrtilos,46.297778,16.887778,2026-04-21 19:24:01.698762,9.93,8.19,9.93,9.93,1018,68,3.43,343,6,0.0,Clear,clear sky,19
Zákány,46.251944,16.9425,2026-04-21 19:24:02.901170,9.65,7.76,9.65,9.65,1018,68,3.6,343,7,0.0,Clear,clear sky,19
Berzence,46.201389,17.143611,2026-04-21 19:24:04.095822,9.81,8.09,9.81,9.81,1018,68,3.35,343,5,0.0,Clear,clear sky,19
Somogyudvarhely,46.163333,17.179722,2026-04-21 19:24:05.295219,9.74,8.08,9.74,9.74,1018,68,3.21,343,6,0.0,Clear,clear sky,19
Bélavár,46.122778,17.207778,2026-04-21 19:24:06.498048,9.75,8.23,9.75,9.75,1018,69,2.97,343,8,0.0,Clear,clear sky,19
Vízvár,46.101389,17.239444,2026-04-21 19:24:07.704124,9.61,8.15,9.61,9.61,1018,69,2.83,342,10,0.0,Clear,clear sky,19
Babócsa,46.028359,17.342276,2026-04-21 19:24:08.905258,9.52,8.21,9.52,9.52,1018,70,2.56,343,13,0.0,Clouds,few clouds,19
Péterhida-Komlósd,46.006667,17.358056,2026-04-21 19:24:10.104383,9.52,8.3,9.52,9.52,1018,71,2.44,345,13,0.0,Clouds,few clouds,19
Barcs,45.951944,17.446944,2026-04-21 19:24:11.305540,9.41,8.31,9.41,9.41,1018,72,2.25,348,11,0.0,Clouds,few clouds,19
Barcs felső,45.958333,17.486389,2026-04-21 19:24:12.500642,9.28,8.11,9.28,9.28,1018,72,2.31,349,10,0.0,Clear,clear sky,19
Középrigóc,45.970556,17.525,2026-04-21 19:24:13.704411,9.15,7.91,9.15,9.15,1018,73,2.37,349,9,0.0,Clear,clear sky,19
Darány,45.992222,17.598611,2026-04-21 19:24:14.914750,9.11,7.61,9.11,9.11,1018,72,2.74,350,8,0.0,Clear,clear sky,19
Kisdobsza,46.012222,17.668056,2026-04-21 19:24:16.114333,9.1,7.46,9.1,9.1,1018,72,2.95,351,8,0.0,Clear,clear sky,19
Nemeske,46.023333,17.705278,2026-04-21 19:24:17.318601,9.09,7.41,9.09,9.09,1018,72,3.02,350,7,0.0,Clear,clear sky,19
Molvány,46.035278,17.748611,2026-04-21 19:24:18.513937,9.05,7.32,9.05,9.05,1017,72,3.08,350,7,0.0,Clear,clear sky,19
Szigetvár,46.043333,17.801944,2026-04-21 19:24:19.716646,8.99,7.25,8.99,8.99,1017,72,3.08,350,7,0.0,Clear,clear sky,19
Nagypeterd,46.039444,17.871667,2026-04-21 19:24:20.915485,10.53,9.52,10.53,10.53,1017,72,3.04,350,8,0.0,Clear,clear sky,19
Szentdénes,46.036667,17.926944,2026-04-21 19:24:22.116954,10.48,9.44,10.48,10.48,1017,71,2.99,350,8,0.0,Clear,clear sky,19
Háros,47.412222,19.035,2026-04-21 19:24:23.318872,9.24,8.74,8.74,9.45,1017,76,1.54,360,0,0.0,Clear,clear sky,19
Nagytétény-Diósd,47.398333,18.974444,2026-04-21 19:24:24.600751,9.26,8.99,8.77,9.48,1017,75,1.34,296,100,0.0,Clouds,overcast clouds,19
Érdliget,47.390278,18.937778,2026-04-21 19:24:25.802348,9.17,8.88,8.69,9.39,1017,75,1.34,296,98,0.0,Clouds,overcast clouds,19
Érd felső,47.381111,18.922222,2026-04-21 19:24:27.006466,9.14,8.85,8.65,9.36,1017,75,1.34,296,95,0.0,Clouds,overcast clouds,19
Érd,47.369722,18.900833,2026-04-21 19:24:28.214450,9.1,7.55,8.62,9.32,1017,75,2.81,342,97,0.0,Clouds,overcast clouds,19
Százhalombatta,47.322222,18.899167,2026-04-21 19:24:29.420003,9.11,7.42,8.6,9.31,1017,80,3.03,345,99,0.0,Clouds,overcast clouds,19
Dunai Finomító,47.294444,18.878889,2026-04-21 19:24:30.622672,9.02,6.99,8.62,9.03,1017,80,3.62,344,99,0.0,Clouds,overcast clouds,19
Ercsi,47.247222,18.875278,2026-04-21 19:24:31.827435,9.25,7.24,8.85,9.26,1017,70,3.68,346,100,0.0,Clouds,overcast clouds,19
Iváncsa,47.177778,18.811944,2026-04-21 19:24:33.022119,8.83,6.56,8.83,8.83,1017,71,4.01,349,100,0.0,Clouds,overcast clouds,19
Pusztaszabolcs,47.139722,18.761667,2026-04-21 19:24:34.221827,8.87,6.65,8.87,8.87,1017,72,3.93,351,100,0.0,Clouds,overcast clouds,19
Szabadegyháza,47.082778,18.704167,2026-04-21 19:24:35.420083,8.8,6.68,8.8,8.8,1017,72,3.69,351,100,0.0,Clouds,overcast clouds,19
Sárosd,47.039722,18.660278,2026-04-21 19:24:36.616896,8.85,6.85,8.85,8.85,1017,72,3.49,352,100,0.21,Rain,light rain,19
Nagylók,46.979444,18.635833,2026-04-21 19:24:37.811570,8.66,6.88,8.66,8.66,1017,73,3.04,349,100,0.32,Rain,light rain,19
Sárbogárd,46.896944,18.611944,2026-04-21 19:24:39.015480,8.86,7.48,8.86,8.86,1017,73,2.49,348,100,0.13,Rain,light rain,19
Rétszilas,46.814167,18.601389,2026-04-21 19:24:40.222070,8.91,7.98,8.91,8.91,1017,73,1.93,348,100,0.1,Rain,light rain,19
Nagyatád,46.228611,17.354167,2026-04-21 19:24:41.420381,9.53,8.02,9.53,9.53,1018,68,2.88,347,15,0.1,Rain,light rain,19
Budapest-Keleti,47.500278,19.084167,2026-04-21 19:24:42.619270,9.16,8.65,8.69,9.39,1017,74,1.54,360,0,0.0,Clear,clear sky,19
Ferencváros,47.468611,19.088056,2026-04-21 19:24:43.820372,9.18,8.67,8.71,9.41,1017,75,1.54,360,0,0.0,Clear,clear sky,19
Budapest-Nyugati,47.510833,19.0575,2026-04-21 19:24:45.024092,9.15,8.64,8.7,9.41,1018,73,1.54,360,0,0.0,Clear,clear sky,19
Kőbánya felső,47.491944,19.133889,2026-04-21 19:24:46.231240,9.13,8.61,8.63,9.34,1018,74,1.54,360,0,0.0,Clear,clear sky,19
Rákos,47.488889,19.174722,2026-04-21 19:24:47.424963,9.1,8.58,8.59,9.3,1018,75,1.54,360,0,0.0,Clear,clear sky,19
Rákosrendező,47.525556,19.089444,2026-04-21 19:24:48.621248,9.23,8.73,8.73,9.44,1018,74,1.54,360,0,0.0,Clear,clear sky,19
Zugló,47.511389,19.101389,2026-04-21 19:24:49.814361,9.19,8.68,8.69,9.4,1018,74,1.54,360,0,0.0,Clear,clear sky,19
Mezőtárkány,47.725,20.480278,2026-04-21 19:24:51.016902,8.23,6.05,8.23,8.23,1017,56,3.57,11,6,0.0,Clear,clear sky,19
Istvántelek,47.550278,19.106389,2026-04-21 19:24:52.218427,9.24,8.74,8.72,9.43,1018,74,1.54,360,0,0.0,Clear,clear sky,19
Rákospalota-Újpest,47.565833,19.111944,2026-04-21 19:24:53.418046,9.23,8.73,8.71,9.42,1018,74,1.54,360,0,0.0,Clear,clear sky,19
Kőbánya alsó,47.483056,19.127222,2026-04-21 19:24:54.618066,9.14,8.63,8.64,9.35,1018,74,1.54,360,0,0.0,Clear,clear sky,19
Kőbánya-Kispest,47.463889,19.149444,2026-04-21 19:24:55.820223,9.15,8.64,8.64,9.35,1018,75,1.54,360,0,0.0,Clear,clear sky,19
Pestszentlőrinc,47.454722,19.182778,2026-04-21 19:24:57.029387,9.09,8.57,8.58,9.29,1018,76,1.54,360,0,0.0,Clear,clear sky,19
Kispest,47.448135,19.157552,2026-04-21 19:24:58.234436,9.16,8.65,8.65,9.36,1018,76,1.54,360,0,0.0,Clear,clear sky,19
Újpest,47.558889,19.079722,2026-04-21 19:24:59.431891,9.24,8.74,8.72,9.43,1018,74,1.54,360,0,0.0,Clear,clear sky,19
Pestszentimre felső,47.413611,19.173333,2026-04-21 19:25:00.631474,9.18,8.67,8.67,9.38,1018,76,1.54,360,0,0.0,Clear,clear sky,19
Dunakeszi,47.626111,19.136111,2026-04-21 19:25:01.840479,9.11,8.52,8.62,9.32,1018,73,1.61,9,100,0.0,Clouds,overcast clouds,19
Dunakeszi-Gyártelep,47.643611,19.135,2026-04-21 19:25:03.034748,9.47,8.74,8.66,11.01,1018,71,1.81,4,100,0.0,Clouds,overcast clouds,19
Alsógöd,47.676944,19.134444,2026-04-21 19:25:04.229507,9.4,8.48,8.65,11.0,1018,69,2.01,1,100,0.0,Clouds,overcast clouds,19
Göd,47.687778,19.1375,2026-04-21 19:25:05.424808,9.41,8.5,8.67,11.02,1018,69,2.01,1,100,0.0,Clouds,overcast clouds,19
Felsőgöd,47.705556,19.143333,2026-04-21 19:25:06.619969,9.41,8.36,8.72,11.22,1018,69,2.18,359,100,0.0,Clouds,overcast clouds,19
Sződ-Sződliget,47.728056,19.154722,2026-04-21 19:25:07.813238,9.38,8.23,8.71,9.42,1018,69,2.31,358,99,0.0,Clouds,overcast clouds,19
Vác,47.782778,19.133056,2026-04-21 19:25:09.017415,9.39,8.16,8.69,9.39,1018,73,2.42,358,97,0.0,Clouds,overcast clouds,19
Verőce,47.823889,19.029444,2026-04-21 19:25:10.213431,9.23,8.56,8.52,9.23,1018,73,1.71,2,99,0.0,Clouds,overcast clouds,19
Kismaros,47.8275,19.010278,2026-04-21 19:25:11.415963,8.65,7.94,8.65,8.65,1018,73,1.66,2,100,0.0,Clouds,overcast clouds,19
Nagymaros-Visegrád,47.791389,18.959167,2026-04-21 19:25:12.612144,8.67,8.11,8.67,9.38,1018,74,1.52,3,98,0.0,Clouds,overcast clouds,19
Nagymaros,47.780278,18.952222,2026-04-21 19:25:13.812107,8.75,8.2,8.75,9.45,1018,74,1.52,3,98,0.0,Clouds,overcast clouds,19
Zebegény,47.801389,18.908889,2026-04-21 19:25:15.003586,8.72,8.08,8.72,9.43,1018,74,1.6,1,99,0.0,Clouds,overcast clouds,19
Szob,47.821111,18.861944,2026-04-21 19:25:16.200699,8.68,7.75,8.68,8.68,1018,74,1.89,358,99,0.0,Clouds,overcast clouds,19
Alagimajor,47.601944,19.153889,2026-04-21 19:25:17.404073,9.17,8.66,8.66,9.37,1018,74,1.54,360,0,0.0,Clear,clear sky,19
Fót,47.611389,19.181667,2026-04-21 19:25:18.612522,9.49,8.88,8.56,10.9,1018,67,1.68,10,100,0.0,Clouds,overcast clouds,19
Fótújfalu,47.615,19.192778,2026-04-21 19:25:19.806440,9.39,8.77,8.45,10.8,1018,67,1.68,10,100,0.0,Clouds,overcast clouds,19
