station_name,station_lat,station_lon,observation_time,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds,precipitation_1h,weather_main,weather_description,collection_hour
Búcsúszentlászló,46.793056,16.932778,2026-05-29 13:25:08.688435,25.4,24.73,23.84,25.4,1023,28,1.73,35,9,0.0,Clear,clear sky,13
Angyalföld,47.549722,19.09,2026-05-29 13:25:09.863034,24.34,23.61,22.23,24.98,1022,30,5.14,300,0,0.0,Clear,clear sky,13
Felsőjánosfa,46.841389,16.544167,2026-05-29 13:25:11.030135,25.09,24.57,25.09,25.09,1023,35,0.64,123,11,0.0,Clouds,few clouds,13
Pankasz,46.835833,16.496111,2026-05-29 13:25:12.216921,25.09,24.59,25.09,25.09,1023,36,0.91,149,14,0.0,Clouds,few clouds,13
Nagyrákos,46.827222,16.455556,2026-05-29 13:25:13.388791,25.02,24.52,25.02,25.02,1023,36,1.1,154,15,0.0,Clouds,few clouds,13
Őriszentpéter,46.828889,16.415278,2026-05-29 13:25:14.562505,25.07,24.6,25.07,25.07,1023,37,1.5,156,20,0.0,Clouds,few clouds,13
Törökbálint,47.45,18.908611,2026-05-29 13:25:15.729206,22.96,22.15,22.01,24.75,1022,32,2.24,351,95,0.0,Clouds,overcast clouds,13
Bicske alsó,47.486389,18.642778,2026-05-29 13:25:16.898828,22.27,21.44,21.9,22.27,1023,34,5.21,332,80,0.0,Clouds,broken clouds,13
Bajánsenye,46.818056,16.358056,2026-05-29 13:25:18.065236,25.06,24.61,25.06,25.06,1023,38,1.7,163,18,0.0,Clouds,few clouds,13
Aquincum,47.566218,19.048273,2026-05-29 13:25:19.236962,24.05,23.32,22.26,25.01,1022,31,2.24,351,91,0.0,Clouds,overcast clouds,13
Piliscsév,47.673889,18.791389,2026-05-29 13:25:20.404475,22.36,21.49,21.85,24.59,1022,32,4.77,324,78,0.0,Clouds,broken clouds,13
Tát,47.741201,18.64783,2026-05-29 13:25:21.570926,22.62,21.8,22.62,22.62,1023,33,4.48,325,82,0.0,Clouds,broken clouds,13
Süttő felső,47.756667,18.437222,2026-05-29 13:25:22.749728,24.31,23.66,24.31,24.31,1023,33,4.21,331,92,0.0,Clouds,overcast clouds,13
Budatétény,47.405,19.016389,2026-05-29 13:25:23.913500,23.59,22.81,22.3,25.05,1022,31,5.14,300,0,0.0,Clear,clear sky,13
Seregélyes-Szőlőhegy,47.119444,18.612222,2026-05-29 13:25:25.078870,24.28,23.55,24.28,24.28,1023,30,5.04,340,78,0.0,Clouds,broken clouds,13
Gödöllő-Állami telepek,47.564444,19.375556,2026-05-29 13:25:26.244734,23.8,22.89,23.74,24.49,1022,25,5.14,300,0,0.0,Clear,clear sky,13
Dunakeszi alsó,47.607778,19.128889,2026-05-29 13:25:27.419918,24.52,23.81,22.23,24.97,1022,30,1.79,2,93,0.0,Clouds,overcast clouds,13
