station_name,station_lat,station_lon,observation_time,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds,precipitation_1h,weather_main,weather_description,collection_hour
Búcsúszentlászló,46.793056,16.932778,2026-06-09 19:00:00.318258,18.69,18.91,18.69,18.69,1016,88,9.64,5,100,0.0,Clouds,overcast clouds,19
Angyalföld,47.549722,19.09,2026-06-09 19:00:01.585465,22.12,22.11,21.49,22.2,1013,66,2.24,280,98,0.0,Clouds,overcast clouds,19
Felsőjánosfa,46.841389,16.544167,2026-06-09 19:00:02.886746,18.64,18.83,18.64,18.64,1016,87,8.51,18,100,11.53,Rain,heavy intensity rain,19
Pankasz,46.835833,16.496111,2026-06-09 19:00:04.157752,18.41,18.58,18.41,18.41,1016,87,8.85,22,100,20.51,Rain,very heavy rain,19
Nagyrákos,46.827222,16.455556,2026-06-09 19:00:05.444207,18.39,18.56,18.39,18.39,1016,87,9.01,23,100,27.34,Rain,very heavy rain,19
Őriszentpéter,46.828889,16.415278,2026-06-09 19:00:06.728594,18.53,18.71,18.53,18.53,1016,87,9.21,28,100,9.99,Rain,heavy intensity rain,19
Törökbálint,47.45,18.908611,2026-06-09 19:00:08.000857,21.42,21.34,21.27,21.97,1013,66,2.24,280,99,0.0,Clouds,overcast clouds,19
Bicske alsó,47.486389,18.642778,2026-06-09 19:00:09.279691,21.16,21.39,21.16,21.34,1014,79,5.58,330,100,0.0,Clouds,overcast clouds,19
Bajánsenye,46.818056,16.358056,2026-06-09 19:00:10.559375,18.72,18.92,18.72,18.72,1016,87,9.53,30,100,1.54,Rain,moderate rain,19
Aquincum,47.566218,19.048273,2026-06-09 19:00:11.834726,22.18,22.18,21.52,22.23,1013,66,2.24,280,100,0.0,Clouds,overcast clouds,19
Piliscsév,47.673889,18.791389,2026-06-09 19:00:13.110333,21.1,21.17,21.1,21.81,1014,73,2.82,310,100,0.0,Clouds,overcast clouds,19
Tát,47.741201,18.64783,2026-06-09 19:00:14.379555,21.51,21.81,21.51,21.51,1014,80,2.99,314,100,0.0,Clouds,overcast clouds,19
Süttő felső,47.756667,18.437222,2026-06-09 19:00:15.650145,18.04,18.01,18.04,18.04,1015,81,4.15,331,100,0.0,Clouds,overcast clouds,19
Budatétény,47.405,19.016389,2026-06-09 19:00:16.933925,21.78,21.68,21.56,22.27,1013,64,5.22,326,100,0.0,Clouds,overcast clouds,19
Seregélyes-Szőlőhegy,47.119444,18.612222,2026-06-09 19:00:18.204429,17.99,17.91,17.99,17.99,1014,79,7.19,343,72,0.0,Clouds,broken clouds,19
Gödöllő-Állami telepek,47.564444,19.375556,2026-06-09 19:00:19.489253,21.71,21.58,21.19,21.71,1013,63,3.99,337,100,0.0,Clouds,overcast clouds,19
Dunakeszi alsó,47.607778,19.128889,2026-06-09 19:00:20.759548,22.17,22.17,21.49,22.19,1013,66,1.34,264,97,0.0,Clouds,overcast clouds,19
Vác-Alsóváros,47.773056,19.149722,2026-06-09 19:00:22.034661,22.17,22.43,21.47,22.17,1014,76,2.74,280,100,0.0,Clouds,overcast clouds,19
Szob alsó,47.816667,18.8725,2026-06-09 19:00:23.310532,21.5,21.77,21.5,21.5,1014,79,2.6,283,100,0.0,Clouds,overcast clouds,19
Zalaszentmihály-Pacsa,46.7225,16.951944,2026-06-09 19:00:24.581352,18.78,19.01,18.78,18.78,1016,88,9.65,6,100,0.0,Clouds,overcast clouds,19
Pötréte,46.682778,16.9575,2026-06-09 19:00:25.860331,18.89,19.13,18.89,18.89,1016,88,9.58,6,99,0.0,Clouds,overcast clouds,19
Felsőrajk,46.667222,16.982778,2026-06-09 19:00:27.132500,18.83,19.07,18.83,18.83,1016,88,9.88,6,99,0.0,Clouds,overcast clouds,19
Gelse,46.600556,16.982778,2026-06-09 19:00:28.406479,18.98,19.21,18.98,18.98,1016,87,9.66,7,98,0.0,Clouds,overcast clouds,19
Őrtilos,46.297778,16.887778,2026-06-09 19:00:29.683686,19.67,20.02,19.67,19.67,1015,89,7.74,17,100,0.0,Clouds,overcast clouds,19
Zákány,46.251944,16.9425,2026-06-09 19:00:30.959260,19.53,19.84,19.53,19.53,1015,88,8.53,15,99,0.0,Clouds,overcast clouds,19
Berzence,46.201389,17.143611,2026-06-09 19:00:32.240369,19.81,20.17,19.81,19.81,1014,89,8.77,14,87,0.0,Clouds,overcast clouds,19
Somogyudvarhely,46.163333,17.179722,2026-06-09 19:00:33.514152,19.92,20.24,19.92,19.92,1014,87,8.51,13,76,0.0,Clouds,broken clouds,19
Bélavár,46.122778,17.207778,2026-06-09 19:00:34.788491,20.4,20.69,20.4,20.4,1014,84,7.73,9,54,0.0,Clouds,broken clouds,19
Vízvár,46.101389,17.239444,2026-06-09 19:00:36.058284,20.51,20.78,20.51,20.51,1014,83,6.89,7,41,0.0,Clouds,scattered clouds,19
Babócsa,46.028359,17.342276,2026-06-09 19:00:37.334694,20.96,21.2,20.96,20.96,1013,80,4.29,2,17,0.0,Clouds,few clouds,19
Péterhida-Komlósd,46.006667,17.358056,2026-06-09 19:00:38.610822,21.19,21.4,21.19,21.19,1013,78,3.11,359,12,0.0,Clouds,few clouds,19
Barcs,45.951944,17.446944,2026-06-09 19:00:39.885617,21.46,21.62,21.46,21.46,1012,75,0.39,353,12,0.0,Clouds,few clouds,19
