station_name,station_lat,station_lon,observation_time,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds,precipitation_1h,weather_main,weather_description,collection_hour
Búcsúszentlászló,46.793056,16.932778,2026-06-17 10:47:09.204889,25.4,24.99,25.4,25.4,1018,38,3.31,257,60,0.0,Clouds,broken clouds,10
Angyalföld,47.549722,19.09,2026-06-17 10:47:10.399255,26.97,27.1,25.56,28.43,1017,45,2.68,244,64,0.0,Clouds,broken clouds,10
Felsőjánosfa,46.841389,16.544167,2026-06-17 10:47:11.600187,25.09,25.01,25.09,27.63,1018,52,2.46,248,74,0.0,Clouds,broken clouds,10
Pankasz,46.835833,16.496111,2026-06-17 10:47:12.804923,27.54,28.19,27.54,27.54,1018,53,2.15,241,72,0.0,Clouds,broken clouds,10
Nagyrákos,46.827222,16.455556,2026-06-17 10:47:14.005811,27.4,28.11,27.4,27.4,1018,54,2.04,238,71,0.0,Clouds,broken clouds,10
Őriszentpéter,46.828889,16.415278,2026-06-17 10:47:15.199142,27.21,27.9,27.21,27.21,1018,54,1.92,232,68,0.0,Clouds,broken clouds,10
Törökbálint,47.45,18.908611,2026-06-17 10:47:16.393839,26.45,26.45,25.34,27.96,1017,46,2.24,331,71,0.0,Clouds,broken clouds,10
Bicske alsó,47.486389,18.642778,2026-06-17 10:47:17.588473,26.04,26.04,25.23,27.84,1017,45,4.39,303,74,0.0,Clouds,broken clouds,10
Bajánsenye,46.818056,16.358056,2026-06-17 10:47:18.787225,27.43,27.31,27.43,27.43,1018,42,1.94,239,65,0.0,Clouds,broken clouds,10
Aquincum,47.566218,19.048273,2026-06-17 10:47:19.988067,26.9,27.04,25.59,28.45,1017,45,2.68,244,63,0.0,Clouds,broken clouds,10
Piliscsév,47.673889,18.791389,2026-06-17 10:47:21.181055,26.13,26.13,25.18,27.37,1017,47,3.71,296,68,0.0,Clouds,broken clouds,10
Tát,47.741201,18.64783,2026-06-17 10:47:22.373424,26.51,26.51,26.51,26.51,1017,46,3.44,297,66,0.0,Clouds,broken clouds,10
Süttő felső,47.756667,18.437222,2026-06-17 10:47:23.573209,25.6,25.39,25.6,25.6,1017,45,4.03,302,70,0.0,Clouds,broken clouds,10
Budatétény,47.405,19.016389,2026-06-17 10:47:24.775180,27.2,27.24,25.63,28.49,1017,44,2.68,244,71,0.0,Clouds,broken clouds,10
Seregélyes-Szőlőhegy,47.119444,18.612222,2026-06-17 10:47:25.975876,25.83,25.64,25.83,25.83,1017,45,3.69,273,62,0.0,Clouds,broken clouds,10
Gödöllő-Állami telepek,47.564444,19.375556,2026-06-17 10:47:27.167924,27.76,27.34,25.08,27.94,1017,38,4.43,286,61,0.0,Clouds,broken clouds,10
Dunakeszi alsó,47.607778,19.128889,2026-06-17 10:47:28.362543,27.23,27.32,25.56,28.42,1017,45,1.34,314,61,0.0,Clouds,broken clouds,10
Vác-Alsóváros,47.773056,19.149722,2026-06-17 10:47:29.555334,27.73,28.07,26.47,27.73,1017,49,4.8,281,49,0.0,Clouds,scattered clouds,10
Szob alsó,47.816667,18.8725,2026-06-17 10:47:30.754456,26.5,26.5,26.5,26.5,1017,49,3.9,285,53,0.0,Clouds,broken clouds,10
Zalaszentmihály-Pacsa,46.7225,16.951944,2026-06-17 10:47:31.957619,25.31,24.89,25.31,25.31,1018,38,3.08,253,59,0.0,Clouds,broken clouds,10
Pötréte,46.682778,16.9575,2026-06-17 10:47:33.153144,25.31,24.89,25.31,25.31,1018,38,2.86,248,59,0.0,Clouds,broken clouds,10
Felsőrajk,46.667222,16.982778,2026-06-17 10:47:34.346742,25.37,25.24,25.37,25.37,1018,49,2.92,248,58,0.0,Clouds,broken clouds,10
Gelse,46.600556,16.982778,2026-06-17 10:47:35.546955,25.37,25.24,25.37,25.37,1018,49,2.67,241,58,0.0,Clouds,broken clouds,10
Őrtilos,46.297778,16.887778,2026-06-17 10:47:36.749910,27.27,27.75,27.27,27.27,1018,51,2.36,241,43,0.0,Clouds,scattered clouds,10
Zákány,46.251944,16.9425,2026-06-17 10:47:37.950721,26.98,27.46,26.98,26.98,1018,51,2.59,244,45,0.0,Clouds,scattered clouds,10
Berzence,46.201389,17.143611,2026-06-17 10:47:39.145130,26.9,27.56,26.9,26.9,1018,54,2.92,257,50,0.0,Clouds,scattered clouds,10
Somogyudvarhely,46.163333,17.179722,2026-06-17 10:47:40.335857,26.77,27.43,26.77,26.77,1018,54,2.97,260,50,0.0,Clouds,scattered clouds,10
Bélavár,46.122778,17.207778,2026-06-17 10:47:41.532860,26.69,27.41,26.69,26.69,1018,55,3.01,264,48,0.0,Clouds,scattered clouds,10
Vízvár,46.101389,17.239444,2026-06-17 10:47:42.738161,26.57,26.57,26.57,26.57,1018,55,3.01,266,46,0.0,Clouds,scattered clouds,10
Babócsa,46.028359,17.342276,2026-06-17 10:47:43.940956,26.84,27.38,26.84,26.84,1018,52,2.96,267,39,0.0,Clouds,scattered clouds,10
Péterhida-Komlósd,46.006667,17.358056,2026-06-17 10:47:45.135533,27.03,27.45,27.03,27.03,1018,50,2.95,266,36,0.0,Clouds,scattered clouds,10
Barcs,45.951944,17.446944,2026-06-17 10:47:46.338101,27.43,27.63,27.43,27.43,1018,47,3.01,264,32,0.0,Clouds,scattered clouds,10
Barcs felső,45.958333,17.486389,2026-06-17 10:47:47.529774,27.43,27.56,27.43,27.43,1018,46,3.02,265,30,0.0,Clouds,scattered clouds,10
Középrigóc,45.970556,17.525,2026-06-17 10:47:48.729153,27.4,27.53,27.4,27.4,1018,46,3.02,265,29,0.0,Clouds,scattered clouds,10
Darány,45.992222,17.598611,2026-06-17 10:47:49.928686,27.35,27.49,27.35,27.35,1018,46,2.91,264,26,0.0,Clouds,scattered clouds,10
Kisdobsza,46.012222,17.668056,2026-06-17 10:47:51.127997,27.22,27.5,27.22,27.22,1018,48,2.84,262,28,0.0,Clouds,scattered clouds,10
Nemeske,46.023333,17.705278,2026-06-17 10:47:52.324630,27.15,27.5,27.15,27.15,1018,49,2.85,261,29,0.0,Clouds,scattered clouds,10
Molvány,46.035278,17.748611,2026-06-17 10:47:53.532519,27.0,27.42,27.0,27.0,1018,50,2.86,258,36,0.0,Clouds,scattered clouds,10
Szigetvár,46.043333,17.801944,2026-06-17 10:47:54.734501,26.92,27.34,26.92,26.92,1018,50,2.89,258,39,0.0,Clouds,scattered clouds,10
Nagypeterd,46.039444,17.871667,2026-06-17 10:47:55.952087,26.86,27.34,26.86,26.86,1018,51,2.95,257,46,0.0,Clouds,scattered clouds,10
Szentdénes,46.036667,17.926944,2026-06-17 10:47:57.148664,26.79,27.22,26.79,26.79,1018,50,2.99,258,50,0.0,Clouds,scattered clouds,10
Háros,47.412222,19.035,2026-06-17 10:47:58.341938,27.19,27.23,25.59,28.45,1017,44,2.68,244,71,0.0,Clouds,broken clouds,10
Nagytétény-Diósd,47.398333,18.974444,2026-06-17 10:47:59.534710,27.09,27.14,25.62,28.49,1017,44,2.24,331,73,0.0,Clouds,broken clouds,10
Érdliget,47.390278,18.937778,2026-06-17 10:48:00.733378,26.93,27.07,25.54,28.4,1017,45,2.24,331,73,0.0,Clouds,broken clouds,10
Érd felső,47.381111,18.922222,2026-06-17 10:48:01.931657,27.13,27.18,25.51,28.12,1017,44,2.24,331,73,0.0,Clouds,broken clouds,10
Érd,47.369722,18.900833,2026-06-17 10:48:03.121014,27.07,27.13,25.47,28.09,1017,44,3.56,282,74,0.0,Clouds,broken clouds,10
Százhalombatta,47.322222,18.899167,2026-06-17 10:48:04.315372,27.13,27.01,25.45,28.07,1017,41,3.54,275,76,0.0,Clouds,broken clouds,10
Dunai Finomító,47.294444,18.878889,2026-06-17 10:48:05.507110,27.88,27.63,25.29,27.91,1017,41,3.32,275,74,0.0,Clouds,broken clouds,10
Ercsi,47.247222,18.875278,2026-06-17 10:48:06.709682,28.13,28.16,25.52,28.14,1017,45,3.33,273,74,0.0,Clouds,broken clouds,10
Iváncsa,47.177778,18.811944,2026-06-17 10:48:07.911687,25.55,25.36,25.55,25.55,1017,46,3.28,271,69,0.0,Clouds,broken clouds,10
Pusztaszabolcs,47.139722,18.761667,2026-06-17 10:48:09.102538,25.72,25.55,25.72,25.72,1017,46,3.47,272,66,0.0,Clouds,broken clouds,10
Szabadegyháza,47.082778,18.704167,2026-06-17 10:48:10.293823,25.82,25.63,25.82,25.82,1017,45,3.79,272,62,0.0,Clouds,broken clouds,10
Sárosd,47.039722,18.660278,2026-06-17 10:48:11.489379,26.0,26.0,26.0,26.0,1017,44,4.11,272,59,0.0,Clouds,broken clouds,10
Nagylók,46.979444,18.635833,2026-06-17 10:48:12.689406,26.05,26.05,26.05,26.05,1017,43,4.52,274,58,0.0,Clouds,broken clouds,10
Sárbogárd,46.896944,18.611944,2026-06-17 10:48:13.887936,26.4,26.4,26.4,26.4,1018,43,4.73,277,60,0.0,Clouds,broken clouds,10
Rétszilas,46.814167,18.601389,2026-06-17 10:48:15.077184,26.55,26.55,26.55,26.55,1018,43,4.68,279,65,0.0,Clouds,broken clouds,10
Nagyatád,46.228611,17.354167,2026-06-17 10:48:16.269238,27.02,27.44,27.02,27.02,1018,50,3.09,267,47,0.0,Clouds,scattered clouds,10
Budapest-Keleti,47.500278,19.084167,2026-06-17 10:48:17.466048,26.6,26.6,25.54,28.4,1017,45,2.68,244,66,0.0,Clouds,broken clouds,10
Ferencváros,47.468611,19.088056,2026-06-17 10:48:18.674684,26.73,26.86,25.56,28.42,1017,44,2.68,244,68,0.0,Clouds,broken clouds,10
Budapest-Nyugati,47.510833,19.0575,2026-06-17 10:48:19.880158,26.61,26.61,25.55,28.42,1017,45,2.68,244,65,0.0,Clouds,broken clouds,10
Kőbánya felső,47.491944,19.133889,2026-06-17 10:48:21.069159,26.82,26.88,25.48,28.34,1017,43,2.68,244,68,0.0,Clouds,broken clouds,10
