station_name,station_lat,station_lon,observation_time,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds,precipitation_1h,weather_main,weather_description,collection_hour
Búcsúszentlászló,46.793056,16.932778,2026-09-08 04:01:44.756593,17.84,17.3,17.84,17.84,1019,62,1.97,153,99,0.0,Clouds,overcast clouds,4
Angyalföld,47.549722,19.09,2026-09-08 04:01:45.982456,18.67,17.87,16.72,19.45,1020,49,1.34,214,100,0.0,Clouds,overcast clouds,4
Felsőjánosfa,46.841389,16.544167,2026-09-08 04:01:47.214080,16.74,16.25,16.74,16.74,1019,68,1.62,194,95,0.0,Clouds,overcast clouds,4
Pankasz,46.835833,16.496111,2026-09-08 04:01:48.443083,16.5,16.01,16.5,16.5,1019,69,1.59,200,94,0.0,Clouds,overcast clouds,4
Nagyrákos,46.827222,16.455556,2026-09-08 04:01:49.671400,16.48,16.01,16.48,16.48,1019,70,1.56,203,93,0.0,Clouds,overcast clouds,4
Őriszentpéter,46.828889,16.415278,2026-09-08 04:01:50.901035,16.61,16.18,16.61,16.61,1019,71,1.47,211,92,0.0,Clouds,overcast clouds,4
Törökbálint,47.45,18.908611,2026-09-08 04:01:52.135084,17.99,17.1,16.86,19.23,1020,48,1.34,214,99,0.0,Clouds,overcast clouds,4
Bicske alsó,47.486389,18.642778,2026-09-08 04:01:53.355773,17.73,16.73,16.75,19.12,1020,45,2.37,134,100,0.0,Clouds,overcast clouds,4
Bajánsenye,46.818056,16.358056,2026-09-08 04:01:54.581760,16.74,16.35,16.74,16.74,1019,72,1.42,213,92,0.0,Clouds,overcast clouds,4
Aquincum,47.566218,19.048273,2026-09-08 04:01:55.807897,18.85,18.07,16.75,19.48,1020,49,1.34,214,100,0.0,Clouds,overcast clouds,4
Piliscsév,47.673889,18.791389,2026-09-08 04:01:57.037678,18.21,17.44,16.7,19.07,1020,52,2.26,130,94,0.0,Clouds,overcast clouds,4
Tát,47.741201,18.64783,2026-09-08 04:01:58.267038,16.4,15.85,16.4,18.73,1019,67,2.46,129,87,0.0,Clouds,overcast clouds,4
Süttő felső,47.756667,18.437222,2026-09-08 04:01:59.490882,16.43,15.41,16.43,16.43,1019,49,2.37,125,97,0.0,Clouds,overcast clouds,4
Budatétény,47.405,19.016389,2026-09-08 04:02:00.713843,18.4,17.58,17.15,19.52,1020,49,0.89,53,99,0.0,Clouds,overcast clouds,4
Seregélyes-Szőlőhegy,47.119444,18.612222,2026-09-08 04:02:01.940610,16.84,15.78,16.84,16.84,1020,46,2.13,136,99,0.0,Clouds,overcast clouds,4
Gödöllő-Állami telepek,47.564444,19.375556,2026-09-08 04:02:03.180338,16.46,15.41,16.24,18.97,1021,48,1.29,106,100,0.0,Clouds,overcast clouds,4
Dunakeszi alsó,47.607778,19.128889,2026-09-08 04:02:04.412918,17.99,17.12,16.72,19.45,1020,49,1.2,117,100,0.0,Clouds,overcast clouds,4
Vác-Alsóváros,47.773056,19.149722,2026-09-08 04:02:05.642743,16.7,15.68,16.7,18.69,1021,48,1.31,84,90,0.0,Clouds,overcast clouds,4
Szob alsó,47.816667,18.8725,2026-09-08 04:02:06.871441,16.39,15.83,16.39,18.72,1020,67,1.96,112,75,0.0,Clouds,broken clouds,4
Zalaszentmihály-Pacsa,46.7225,16.951944,2026-09-08 04:02:08.098665,17.75,17.23,17.75,17.75,1019,63,1.54,0,99,0.0,Clouds,overcast clouds,4
Pötréte,46.682778,16.9575,2026-09-08 04:02:09.329952,17.75,17.23,17.75,17.75,1019,63,1.54,0,99,0.0,Clouds,overcast clouds,4
Felsőrajk,46.667222,16.982778,2026-09-08 04:02:10.567570,17.81,17.29,17.81,17.81,1019,63,1.54,0,99,0.0,Clouds,overcast clouds,4
Gelse,46.600556,16.982778,2026-09-08 04:02:11.791577,17.81,17.29,17.81,17.81,1019,63,1.54,0,100,0.0,Clouds,overcast clouds,4
Őrtilos,46.297778,16.887778,2026-09-08 04:02:13.027704,17.03,16.41,17.03,17.03,1019,62,1.64,197,89,0.0,Clouds,overcast clouds,4
Zákány,46.251944,16.9425,2026-09-08 04:02:14.251731,16.72,16.09,16.72,16.72,1019,63,1.43,191,93,0.0,Clouds,overcast clouds,4
Berzence,46.201389,17.143611,2026-09-08 04:02:15.484720,16.76,16.08,16.76,16.76,1019,61,1.56,156,94,0.0,Clouds,overcast clouds,4
Somogyudvarhely,46.163333,17.179722,2026-09-08 04:02:16.708056,16.7,15.99,16.7,16.7,1019,60,1.59,151,91,0.0,Clouds,overcast clouds,4
Bélavár,46.122778,17.207778,2026-09-08 04:02:17.932089,16.72,16.01,16.72,16.72,1019,60,1.49,144,87,0.0,Clouds,overcast clouds,4
Vízvár,46.101389,17.239444,2026-09-08 04:02:19.157673,16.57,15.82,16.57,16.57,1019,59,1.49,140,84,0.0,Clouds,broken clouds,4
Babócsa,46.028359,17.342276,2026-09-08 04:02:20.385783,16.49,15.68,16.49,16.49,1019,57,1.61,128,83,0.0,Clouds,broken clouds,4
Péterhida-Komlósd,46.006667,17.358056,2026-09-08 04:02:21.657885,16.5,15.67,16.5,16.5,1019,56,1.6,123,85,0.0,Clouds,overcast clouds,4
Barcs,45.951944,17.446944,2026-09-08 04:02:22.884640,16.41,15.52,16.41,16.41,1019,54,1.7,117,88,0.0,Clouds,overcast clouds,4
Barcs felső,45.958333,17.486389,2026-09-08 04:02:24.118581,16.28,15.35,16.28,16.28,1019,53,1.87,118,87,0.0,Clouds,overcast clouds,4
Középrigóc,45.970556,17.525,2026-09-08 04:02:25.352098,16.16,15.19,16.16,16.16,1019,52,2.02,119,86,0.0,Clouds,overcast clouds,4
