station_name,station_lat,station_lon,observation_time,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds,precipitation_1h,weather_main,weather_description,collection_hour
Búcsúszentlászló,46.793056,16.932778,2026-03-26 13:41:42.798727,4.84,-1.69,4.84,4.84,1000,82,14.72,4,100,0.0,Clouds,overcast clouds,13
Angyalföld,47.549722,19.09,2026-03-26 13:41:44.044086,13.12,11.92,12.23,14.23,998,55,2.06,100,0,0.0,Clear,clear sky,13
Felsőjánosfa,46.841389,16.544167,2026-03-26 13:41:45.306810,7.25,1.97,7.25,7.25,1000,72,12.76,11,100,0.0,Clouds,overcast clouds,13
Pankasz,46.835833,16.496111,2026-03-26 13:41:46.543990,6.99,1.58,6.99,6.99,1000,70,12.96,12,100,0.0,Clouds,overcast clouds,13
Nagyrákos,46.827222,16.455556,2026-03-26 13:41:47.817847,6.97,1.54,6.97,6.97,1000,69,13.01,12,100,0.0,Clouds,overcast clouds,13
Őriszentpéter,46.828889,16.415278,2026-03-26 13:41:49.085771,7.1,1.72,7.1,7.1,1000,68,13.01,12,100,0.0,Clouds,overcast clouds,13
Törökbálint,47.45,18.908611,2026-03-26 13:41:50.337133,12.82,11.65,12.01,14.0,998,57,1.79,358,100,0.0,Clouds,overcast clouds,13
Bicske alsó,47.486389,18.642778,2026-03-26 13:41:51.588303,12.71,11.6,11.9,13.39,998,60,3.02,95,100,0.0,Clouds,overcast clouds,13
Bajánsenye,46.818056,16.358056,2026-03-26 13:41:52.830613,7.21,1.84,7.21,7.21,1000,67,13.15,13,100,0.0,Clouds,overcast clouds,13
Aquincum,47.566218,19.048273,2026-03-26 13:41:54.100413,13.06,11.88,12.26,14.25,997,56,0.89,67,100,0.0,Clouds,overcast clouds,13
Piliscsév,47.673889,18.791389,2026-03-26 13:41:55.364962,12.31,11.14,11.85,12.92,998,59,4.13,61,100,0.0,Clouds,overcast clouds,13
Tát,47.741201,18.64783,2026-03-26 13:41:56.615437,12.62,11.58,12.62,12.62,998,63,4.05,46,100,0.0,Clouds,overcast clouds,13
Süttő felső,47.756667,18.437222,2026-03-26 13:41:57.870631,9.82,7.52,9.82,9.82,998,69,4.61,18,100,0.0,Clouds,overcast clouds,13
Budatétény,47.405,19.016389,2026-03-26 13:41:59.118763,13.42,12.25,12.3,14.29,998,55,2.06,100,0,0.0,Clear,clear sky,13
Seregélyes-Szőlőhegy,47.119444,18.612222,2026-03-26 13:42:00.387675,11.17,10.17,11.17,11.17,998,70,3.66,147,100,0.0,Clouds,overcast clouds,13
Gödöllő-Állami telepek,47.564444,19.375556,2026-03-26 13:42:01.658094,13.49,12.04,11.75,13.74,998,44,2.06,100,0,0.0,Clear,clear sky,13
Dunakeszi alsó,47.607778,19.128889,2026-03-26 13:42:02.906291,13.12,11.98,12.23,14.22,998,57,0.45,323,100,0.0,Clouds,overcast clouds,13
Vác-Alsóváros,47.773056,19.149722,2026-03-26 13:42:04.174521,13.28,12.1,12.58,13.28,998,55,4.26,56,100,0.0,Clouds,overcast clouds,13
Szob alsó,47.816667,18.8725,2026-03-26 13:42:05.422786,12.61,11.52,12.61,12.61,998,61,4.47,56,100,0.0,Clouds,overcast clouds,13
Zalaszentmihály-Pacsa,46.7225,16.951944,2026-03-26 13:42:06.700287,4.75,-0.68,4.75,4.75,1000,87,9.77,10,75,0.0,Clouds,broken clouds,13
Pötréte,46.682778,16.9575,2026-03-26 13:42:07.966047,4.75,-0.68,4.75,4.75,999,87,9.77,10,75,0.0,Clouds,broken clouds,13
Felsőrajk,46.667222,16.982778,2026-03-26 13:42:09.223575,4.81,-0.6,4.81,4.81,1000,87,9.77,10,75,0.0,Clouds,broken clouds,13
Gelse,46.600556,16.982778,2026-03-26 13:42:10.474293,4.81,-0.6,4.81,4.81,999,87,9.77,10,75,0.0,Clouds,broken clouds,13
Őrtilos,46.297778,16.887778,2026-03-26 13:42:11.746761,7.69,2.46,7.69,7.69,998,83,13.31,18,100,0.71,Rain,light rain,13
Zákány,46.251944,16.9425,2026-03-26 13:42:12.995079,7.54,2.2,7.54,7.54,998,84,13.62,17,100,1.09,Rain,moderate rain,13
Berzence,46.201389,17.143611,2026-03-26 13:42:14.252041,8.04,3.09,8.04,8.04,998,84,12.47,14,100,3.47,Rain,moderate rain,13
Somogyudvarhely,46.163333,17.179722,2026-03-26 13:42:15.510881,8.09,3.28,8.09,8.09,998,84,11.89,13,100,5.31,Rain,heavy intensity rain,13
Bélavár,46.122778,17.207778,2026-03-26 13:42:16.760867,8.27,3.73,8.27,8.27,997,83,10.86,12,99,5.51,Rain,heavy intensity rain,13
Vízvár,46.101389,17.239444,2026-03-26 13:42:18.026949,8.27,3.85,8.27,8.27,997,83,10.32,11,99,6.36,Rain,heavy intensity rain,13
Babócsa,46.028359,17.342276,2026-03-26 13:42:19.280733,8.5,4.39,8.5,8.5,997,83,9.3,8,99,4.77,Rain,heavy intensity rain,13
Péterhida-Komlósd,46.006667,17.358056,2026-03-26 13:42:20.503554,8.69,4.73,8.69,8.69,997,83,8.94,7,100,5.16,Rain,heavy intensity rain,13
Barcs,45.951944,17.446944,2026-03-26 13:42:21.762904,9.02,5.4,9.02,9.02,997,84,7.98,3,100,6.83,Rain,heavy intensity rain,13
