station_name,station_lat,station_lon,observation_time,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds,precipitation_1h,weather_main,weather_description,collection_hour
Búcsúszentlászló,46.793056,16.932778,2026-06-22 08:24:43.259523,28.83,28.8,28.83,28.83,1022,44,5.64,6,5,0.0,Clear,clear sky,8
Angyalföld,47.549722,19.09,2026-06-22 08:24:44.524308,30.16,31.98,28.71,30.54,1021,54,1.79,35,0,0.0,Clear,clear sky,8
Felsőjánosfa,46.841389,16.544167,2026-06-22 08:24:45.796589,28.74,29.56,28.74,28.74,1022,52,4.27,18,3,0.0,Clear,clear sky,8
Pankasz,46.835833,16.496111,2026-06-22 08:24:47.059031,28.45,29.41,28.45,28.45,1023,54,4.02,17,2,0.0,Clear,clear sky,8
Nagyrákos,46.827222,16.455556,2026-06-22 08:24:48.331332,28.41,29.47,28.41,28.41,1023,55,3.84,16,2,0.0,Clear,clear sky,8
Őriszentpéter,46.828889,16.415278,2026-06-22 08:24:49.601847,28.5,29.71,28.5,28.5,1023,56,3.39,13,2,0.0,Clear,clear sky,8
Törökbálint,47.45,18.908611,2026-06-22 08:24:50.880279,29.13,30.94,28.49,30.31,1020,58,1.79,35,2,0.0,Clear,clear sky,8
Bicske alsó,47.486389,18.642778,2026-06-22 08:24:52.144873,28.47,29.67,28.38,31.17,1021,56,3.58,350,3,0.0,Clear,clear sky,8
Bajánsenye,46.818056,16.358056,2026-06-22 08:24:53.415442,28.59,29.96,28.59,28.59,1023,57,3.13,11,4,0.0,Clear,clear sky,8
Aquincum,47.566218,19.048273,2026-06-22 08:24:54.685659,30.4,32.19,28.74,30.57,1021,53,1.79,35,0,0.0,Clear,clear sky,8
Piliscsév,47.673889,18.791389,2026-06-22 08:24:55.966311,28.51,29.85,28.32,30.15,1021,57,2.67,344,0,0.0,Clear,clear sky,8
Tát,47.741201,18.64783,2026-06-22 08:24:57.236023,28.73,30.04,28.73,28.73,1021,56,2.69,335,1,0.0,Clear,clear sky,8
Süttő felső,47.756667,18.437222,2026-06-22 08:24:58.510904,28.31,29.56,28.31,28.31,1021,57,2.84,338,3,0.0,Clear,clear sky,8
Budatétény,47.405,19.016389,2026-06-22 08:24:59.778296,29.53,31.28,28.78,30.61,1020,56,1.34,38,1,0.0,Clear,clear sky,8
Seregélyes-Szőlőhegy,47.119444,18.612222,2026-06-22 08:25:01.049275,28.72,29.77,28.72,28.72,1021,54,3.28,6,7,0.0,Clear,clear sky,8
Gödöllő-Állami telepek,47.564444,19.375556,2026-06-22 08:25:02.311419,29.73,31.61,28.9,30.05,1021,56,2.47,19,0,0.0,Clear,clear sky,8
Dunakeszi alsó,47.607778,19.128889,2026-06-22 08:25:03.580366,30.4,32.19,28.71,30.53,1021,53,0.45,327,0,0.0,Clear,clear sky,8
Vác-Alsóváros,47.773056,19.149722,2026-06-22 08:25:04.847451,30.51,32.97,28.69,30.51,1021,56,2.22,12,0,0.0,Clear,clear sky,8
