station_name,station_lat,station_lon,observation_time,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds,precipitation_1h,weather_main,weather_description,collection_hour
Búcsúszentlászló,46.793056,16.932778,2026-06-07 15:42:39.597772,25.4,25.14,25.4,25.4,1020,44,2.98,9,93,0.0,Clouds,overcast clouds,15
Angyalföld,47.549722,19.09,2026-06-07 15:42:40.794121,27.75,27.16,27.05,28.73,1019,35,3.58,323,20,0.0,Clouds,few clouds,15
Felsőjánosfa,46.841389,16.544167,2026-06-07 15:42:41.988680,25.09,24.96,25.09,25.09,1020,50,2.63,68,82,1.31,Rain,moderate rain,15
Pankasz,46.835833,16.496111,2026-06-07 15:42:43.183672,24.94,24.82,24.94,24.94,1020,51,2.55,68,82,0.29,Rain,light rain,15
Nagyrákos,46.827222,16.455556,2026-06-07 15:42:44.383089,24.87,24.74,24.87,24.87,1020,51,2.46,67,82,0.0,Clouds,broken clouds,15
Őriszentpéter,46.828889,16.415278,2026-06-07 15:42:45.577878,24.96,24.9,24.96,24.96,1020,53,2.24,62,84,0.0,Clouds,broken clouds,15
Törökbálint,47.45,18.908611,2026-06-07 15:42:46.773162,28.06,27.4,26.83,28.51,1019,35,4.02,295,40,0.0,Clouds,scattered clouds,15
Bicske alsó,47.486389,18.642778,2026-06-07 15:42:47.963971,26.54,26.54,25.23,28.39,1020,42,5.68,327,47,0.0,Clouds,scattered clouds,15
Bajánsenye,46.818056,16.358056,2026-06-07 15:42:49.161149,25.03,24.97,25.03,25.03,1020,53,2.37,57,83,0.0,Clouds,broken clouds,15
Aquincum,47.566218,19.048273,2026-06-07 15:42:50.366330,27.74,27.21,27.08,28.76,1019,36,3.58,323,24,0.0,Clouds,few clouds,15
Piliscsév,47.673889,18.791389,2026-06-07 15:42:51.562688,26.72,26.66,26.66,27.37,1020,40,5.49,319,39,0.0,Clouds,scattered clouds,15
Tát,47.741201,18.64783,2026-06-07 15:42:52.758689,27.07,27.02,27.07,27.07,1020,42,5.23,321,47,0.0,Clouds,scattered clouds,15
Süttő felső,47.756667,18.437222,2026-06-07 15:42:53.955912,25.74,25.47,25.74,25.74,1020,42,5.13,325,51,0.0,Clouds,broken clouds,15
Budatétény,47.405,19.016389,2026-06-07 15:42:55.147043,28.5,27.7,27.12,28.8,1019,34,4.02,295,39,0.0,Clouds,scattered clouds,15
Seregélyes-Szőlőhegy,47.119444,18.612222,2026-06-07 15:42:56.343682,26.15,26.15,26.15,26.15,1019,38,5.98,347,75,0.0,Clouds,broken clouds,15
Gödöllő-Állami telepek,47.564444,19.375556,2026-06-07 15:42:57.552712,27.26,26.95,25.08,27.27,1019,38,5.58,325,17,0.0,Clouds,few clouds,15
Dunakeszi alsó,47.607778,19.128889,2026-06-07 15:42:58.751056,27.72,27.19,27.05,28.73,1019,36,3.58,323,16,0.0,Clouds,few clouds,15
Vác-Alsóváros,47.773056,19.149722,2026-06-07 15:42:59.946022,27.73,27.56,27.03,27.73,1019,42,5.8,317,19,0.0,Clouds,few clouds,15
Szob alsó,47.816667,18.8725,2026-06-07 15:43:01.139714,27.06,27.01,27.06,27.06,1020,42,5.52,316,37,0.0,Clouds,scattered clouds,15
Zalaszentmihály-Pacsa,46.7225,16.951944,2026-06-07 15:43:02.345413,25.31,25.05,25.31,25.31,1020,44,2.95,9,89,0.0,Clouds,overcast clouds,15
Pötréte,46.682778,16.9575,2026-06-07 15:43:03.544037,25.31,25.05,25.31,25.31,1020,44,3.0,11,84,0.0,Clouds,broken clouds,15
Felsőrajk,46.667222,16.982778,2026-06-07 15:43:04.740887,25.37,25.24,25.37,25.37,1020,49,3.09,8,83,0.0,Clouds,broken clouds,15
Gelse,46.600556,16.982778,2026-06-07 15:43:05.935171,25.37,25.24,25.37,25.37,1020,49,3.2,14,71,0.0,Clouds,broken clouds,15
Őrtilos,46.297778,16.887778,2026-06-07 15:43:07.131817,26.07,26.07,26.07,26.07,1020,49,2.93,63,25,0.0,Clouds,scattered clouds,15
Zákány,46.251944,16.9425,2026-06-07 15:43:08.328772,25.91,25.81,25.91,25.91,1020,48,3.14,68,14,0.0,Clouds,few clouds,15
Berzence,46.201389,17.143611,2026-06-07 15:43:09.516743,26.31,26.31,26.31,26.31,1020,46,3.12,55,10,0.0,Clear,clear sky,15
Somogyudvarhely,46.163333,17.179722,2026-06-07 15:43:10.714582,26.31,26.31,26.31,26.31,1020,46,3.05,50,11,0.0,Clouds,few clouds,15
Bélavár,46.122778,17.207778,2026-06-07 15:43:11.912594,26.44,26.44,26.44,26.44,1020,46,2.96,41,10,0.0,Clear,clear sky,15
Vízvár,46.101389,17.239444,2026-06-07 15:43:13.112432,26.39,26.39,26.39,26.39,1020,46,2.98,36,10,0.0,Clear,clear sky,15
Babócsa,46.028359,17.342276,2026-06-07 15:43:14.304867,26.51,26.51,26.51,26.51,1020,44,3.09,27,10,0.0,Clear,clear sky,15
Péterhida-Komlósd,46.006667,17.358056,2026-06-07 15:43:15.504017,26.62,26.62,26.62,26.62,1020,44,3.05,26,11,0.0,Clouds,few clouds,15
Barcs,45.951944,17.446944,2026-06-07 15:43:16.703692,26.72,26.9,26.72,26.72,1020,45,2.79,26,12,0.0,Clouds,few clouds,15
Barcs felső,45.958333,17.486389,2026-06-07 15:43:17.898736,26.65,26.65,26.65,26.65,1020,45,2.77,25,12,0.0,Clouds,few clouds,15
Középrigóc,45.970556,17.525,2026-06-07 15:43:19.108936,26.58,26.58,26.58,26.58,1020,46,2.74,23,12,0.0,Clouds,few clouds,15
Darány,45.992222,17.598611,2026-06-07 15:43:20.305096,26.59,26.59,26.59,26.59,1020,47,2.88,13,12,0.0,Clouds,few clouds,15
Kisdobsza,46.012222,17.668056,2026-06-07 15:43:21.498415,26.63,26.63,26.63,26.63,1020,49,3.02,6,12,0.0,Clouds,few clouds,15
Nemeske,46.023333,17.705278,2026-06-07 15:43:22.695955,26.67,27.12,26.67,26.67,1020,50,3.03,4,12,0.0,Clouds,few clouds,15
