station_name,station_lat,station_lon,observation_time,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds,precipitation_1h,weather_main,weather_description,collection_hour
Búcsúszentlászló,46.793056,16.932778,2026-03-06 07:00:39.975905,3.3,2.12,3.3,3.3,1026,85,1.42,128,0,0.0,Clear,clear sky,7
Angyalföld,47.549722,19.09,2026-03-06 07:00:41.175931,5.85,5.85,5.85,5.85,1027,77,1.33,100,61,0.0,Clouds,broken clouds,7
Felsőjánosfa,46.841389,16.544167,2026-03-06 07:00:42.376264,3.06,3.06,3.06,3.06,1025,87,1.09,152,0,0.0,Clear,clear sky,7
Pankasz,46.835833,16.496111,2026-03-06 07:00:43.576457,2.71,2.71,2.71,2.71,1025,87,1.0,157,0,0.0,Clear,clear sky,7
Nagyrákos,46.827222,16.455556,2026-03-06 07:00:44.779317,2.64,2.64,2.64,2.64,1025,87,0.94,161,0,0.0,Clear,clear sky,7
Őriszentpéter,46.828889,16.415278,2026-03-06 07:00:45.982093,2.72,2.72,2.72,2.72,1025,87,0.8,169,0,0.0,Clear,clear sky,7
Törökbálint,47.45,18.908611,2026-03-06 07:00:47.181558,5.47,4.25,5.47,5.47,1027,78,1.69,98,100,0.0,Clouds,overcast clouds,7
Bicske alsó,47.486389,18.642778,2026-03-06 07:00:48.382946,4.9,3.94,4.9,4.9,1027,81,1.42,102,95,0.0,Clouds,overcast clouds,7
Bajánsenye,46.818056,16.358056,2026-03-06 07:00:49.583789,2.81,2.81,2.81,2.81,1025,87,0.74,177,0,0.0,Clear,clear sky,7
Aquincum,47.566218,19.048273,2026-03-06 07:00:50.780381,5.49,5.49,5.49,5.49,1027,79,1.28,102,80,0.0,Clouds,broken clouds,7
Piliscsév,47.673889,18.791389,2026-03-06 07:00:51.983426,4.75,3.84,4.75,4.75,1027,81,1.37,115,100,0.0,Clouds,overcast clouds,7
Tát,47.741201,18.64783,2026-03-06 07:00:53.182082,4.78,3.53,4.78,4.78,1026,81,1.63,124,100,0.0,Clouds,overcast clouds,7
Süttő felső,47.756667,18.437222,2026-03-06 07:00:54.383140,4.43,2.99,4.43,4.43,1026,81,1.74,123,82,0.0,Clouds,broken clouds,7
Budatétény,47.405,19.016389,2026-03-06 07:00:55.586839,5.56,4.19,5.56,5.56,1027,78,1.84,98,100,0.0,Clouds,overcast clouds,7
Seregélyes-Szőlőhegy,47.119444,18.612222,2026-03-06 07:00:56.782960,4.98,3.59,4.98,4.98,1027,80,1.77,80,2,0.0,Clear,clear sky,7
Gödöllő-Állami telepek,47.564444,19.375556,2026-03-06 07:00:57.982557,4.78,4.78,4.78,4.78,1027,75,1.22,105,9,0.0,Clear,clear sky,7
Dunakeszi alsó,47.607778,19.128889,2026-03-06 07:00:59.179493,5.65,5.65,5.65,5.65,1027,78,1.19,101,38,0.0,Clouds,scattered clouds,7
Vác-Alsóváros,47.773056,19.149722,2026-03-06 07:01:00.384744,5.05,5.05,5.05,5.05,1027,80,1.14,108,10,0.0,Clear,clear sky,7
Szob alsó,47.816667,18.8725,2026-03-06 07:01:01.579145,4.99,4.02,4.99,4.99,1027,81,1.44,112,58,0.0,Clouds,broken clouds,7
Zalaszentmihály-Pacsa,46.7225,16.951944,2026-03-06 07:01:02.774984,3.31,2.15,3.31,3.31,1026,85,1.41,125,0,0.0,Clear,clear sky,7
Pötréte,46.682778,16.9575,2026-03-06 07:01:03.969372,3.37,2.22,3.37,3.37,1026,85,1.41,122,0,0.0,Clear,clear sky,7
Felsőrajk,46.667222,16.982778,2026-03-06 07:01:05.169872,3.29,2.08,3.29,3.29,1026,85,1.44,122,0,0.0,Clear,clear sky,7
Gelse,46.600556,16.982778,2026-03-06 07:01:06.379558,3.44,2.25,3.44,3.44,1026,85,1.44,121,0,0.0,Clear,clear sky,7
Őrtilos,46.297778,16.887778,2026-03-06 07:01:07.578042,4.21,2.88,4.21,4.21,1025,84,1.63,136,0,0.0,Clear,clear sky,7
Zákány,46.251944,16.9425,2026-03-06 07:01:08.783074,3.99,2.51,3.99,3.99,1026,83,1.72,134,0,0.0,Clear,clear sky,7
Berzence,46.201389,17.143611,2026-03-06 07:01:09.996034,4.31,2.76,4.31,4.31,1026,82,1.82,128,0,0.0,Clear,clear sky,7
