station_name,station_lat,station_lon,observation_time,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds,precipitation_1h,weather_main,weather_description,collection_hour
Búcsúszentlászló,46.793056,16.932778,2026-07-26 07:09:21.474787,25.4,24.99,25.4,25.4,1008,38,4.91,219,100,0.0,Clouds,overcast clouds,7
Angyalföld,47.549722,19.09,2026-07-26 07:09:22.704073,23.84,23.4,23.71,24.86,1010,43,1.79,217,9,0.0,Clear,clear sky,7
Felsőjánosfa,46.841389,16.544167,2026-07-26 07:09:23.949846,25.09,25.25,25.09,25.09,1008,61,3.37,222,100,0.0,Clouds,overcast clouds,7
Pankasz,46.835833,16.496111,2026-07-26 07:09:25.185831,22.43,22.35,22.43,22.43,1008,62,3.24,222,100,0.0,Clouds,overcast clouds,7
Nagyrákos,46.827222,16.455556,2026-07-26 07:09:26.416057,22.36,22.3,22.36,22.36,1008,63,3.15,223,100,0.0,Clouds,overcast clouds,7
Őriszentpéter,46.828889,16.415278,2026-07-26 07:09:27.648976,22.44,22.41,22.44,22.44,1008,64,2.93,224,100,0.0,Clouds,overcast clouds,7
Törökbálint,47.45,18.908611,2026-07-26 07:09:28.878631,24.07,23.68,23.49,24.63,1010,44,1.79,146,42,0.0,Clouds,scattered clouds,7
Bicske alsó,47.486389,18.642778,2026-07-26 07:09:30.105663,24.21,23.68,21.9,24.52,1010,38,6.39,162,100,0.0,Clouds,overcast clouds,7
Bajánsenye,46.818056,16.358056,2026-07-26 07:09:31.341293,22.49,22.47,22.49,22.49,1008,64,2.99,225,100,0.0,Clouds,overcast clouds,7
Aquincum,47.566218,19.048273,2026-07-26 07:09:32.569889,23.86,23.42,23.74,24.88,1010,43,1.79,217,18,0.0,Clouds,few clouds,7
Piliscsév,47.673889,18.791389,2026-07-26 07:09:33.802952,23.48,22.98,23.32,24.47,1010,42,5.14,155,88,0.0,Clouds,overcast clouds,7
Tát,47.741201,18.64783,2026-07-26 07:09:35.038269,23.73,23.18,23.73,23.73,1010,39,5.25,151,100,0.0,Clouds,overcast clouds,7
Süttő felső,47.756667,18.437222,2026-07-26 07:09:36.272497,23.32,22.73,23.32,23.32,1010,39,5.67,151,98,0.0,Clouds,overcast clouds,7
Budatétény,47.405,19.016389,2026-07-26 07:09:37.507310,23.88,23.5,23.78,24.92,1010,45,1.79,146,13,0.0,Clouds,few clouds,7
Seregélyes-Szőlőhegy,47.119444,18.612222,2026-07-26 07:09:38.741157,23.84,23.25,23.84,23.84,1010,37,6.37,178,100,0.0,Clouds,overcast clouds,7
Gödöllő-Állami telepek,47.564444,19.375556,2026-07-26 07:09:39.973006,23.37,22.7,21.75,23.38,1010,36,4.59,167,48,0.0,Clouds,scattered clouds,7
Dunakeszi alsó,47.607778,19.128889,2026-07-26 07:09:41.211637,23.83,23.39,23.71,24.85,1010,43,3.97,164,15,0.0,Clouds,few clouds,7
Vác-Alsóváros,47.773056,19.149722,2026-07-26 07:09:42.445190,23.84,23.25,23.69,23.84,1010,37,4.55,156,41,0.0,Clouds,scattered clouds,7
Szob alsó,47.816667,18.8725,2026-07-26 07:09:43.689232,23.72,23.14,23.72,23.72,1010,38,4.17,149,76,0.0,Clouds,broken clouds,7
Zalaszentmihály-Pacsa,46.7225,16.951944,2026-07-26 07:09:44.926803,25.31,24.89,25.31,25.31,1008,38,4.98,218,100,0.0,Clouds,overcast clouds,7
Pötréte,46.682778,16.9575,2026-07-26 07:09:46.161925,25.31,24.89,25.31,25.31,1008,38,5.0,217,100,0.0,Clouds,overcast clouds,7
Felsőrajk,46.667222,16.982778,2026-07-26 07:09:47.397100,25.37,25.32,25.37,25.37,1008,52,5.23,216,100,0.0,Clouds,overcast clouds,7
Gelse,46.600556,16.982778,2026-07-26 07:09:48.633532,25.37,25.29,25.37,25.37,1008,51,5.44,213,100,0.0,Clouds,overcast clouds,7
Őrtilos,46.297778,16.887778,2026-07-26 07:09:49.866729,23.52,23.18,23.52,23.52,1008,48,7.65,207,100,0.0,Clouds,overcast clouds,7
Zákány,46.251944,16.9425,2026-07-26 07:09:51.099115,23.25,22.88,23.25,23.25,1009,48,8.31,210,100,0.0,Clouds,overcast clouds,7
Berzence,46.201389,17.143611,2026-07-26 07:09:52.331515,23.55,23.19,23.55,23.55,1009,47,7.52,210,100,0.0,Clouds,overcast clouds,7
Somogyudvarhely,46.163333,17.179722,2026-07-26 07:09:53.564969,23.52,23.15,23.52,23.52,1009,47,7.08,210,100,0.0,Clouds,overcast clouds,7
Bélavár,46.122778,17.207778,2026-07-26 07:09:54.800649,23.56,23.22,23.56,23.56,1009,48,6.33,209,100,0.0,Clouds,overcast clouds,7
Vízvár,46.101389,17.239444,2026-07-26 07:09:56.034387,23.47,23.13,23.47,23.47,1010,48,5.94,209,100,0.0,Clouds,overcast clouds,7
Babócsa,46.028359,17.342276,2026-07-26 07:09:57.266031,23.49,23.15,23.49,23.49,1010,48,5.31,209,100,0.0,Clouds,overcast clouds,7
Péterhida-Komlósd,46.006667,17.358056,2026-07-26 07:09:58.502181,23.58,23.25,23.58,23.58,1010,48,5.1,209,100,0.0,Clouds,overcast clouds,7
Barcs,45.951944,17.446944,2026-07-26 07:09:59.730605,23.75,23.41,23.75,23.75,1010,47,4.51,211,98,0.0,Clouds,overcast clouds,7
Barcs felső,45.958333,17.486389,2026-07-26 07:10:00.958132,23.71,23.34,23.71,23.71,1010,46,4.38,210,98,0.0,Clouds,overcast clouds,7
Középrigóc,45.970556,17.525,2026-07-26 07:10:02.192696,23.69,23.32,23.69,23.69,1010,46,4.23,209,98,0.0,Clouds,overcast clouds,7
Darány,45.992222,17.598611,2026-07-26 07:10:03.433445,23.79,23.37,23.79,23.79,1010,44,3.98,204,100,0.0,Clouds,overcast clouds,7
Kisdobsza,46.012222,17.668056,2026-07-26 07:10:04.671485,23.92,23.46,23.92,23.92,1010,42,3.87,200,100,0.0,Clouds,overcast clouds,7
Nemeske,46.023333,17.705278,2026-07-26 07:10:05.900906,24.01,23.56,24.01,24.01,1010,42,3.7,197,100,0.0,Clouds,overcast clouds,7
Molvány,46.035278,17.748611,2026-07-26 07:10:07.140850,24.03,23.56,24.03,24.03,1010,41,3.66,193,100,0.0,Clouds,overcast clouds,7
Szigetvár,46.043333,17.801944,2026-07-26 07:10:08.369640,24.05,23.56,24.05,24.05,1010,40,3.54,189,100,0.0,Clouds,overcast clouds,7
Nagypeterd,46.039444,17.871667,2026-07-26 07:10:09.611854,24.12,23.63,24.12,24.12,1010,40,3.32,182,100,0.0,Clouds,overcast clouds,7
Szentdénes,46.036667,17.926944,2026-07-26 07:10:10.849830,24.08,23.59,24.08,24.08,1010,40,3.24,178,100,0.0,Clouds,overcast clouds,7
Háros,47.412222,19.035,2026-07-26 07:10:12.081414,23.82,23.41,23.74,24.88,1010,44,1.79,146,13,0.0,Clouds,few clouds,7
Nagytétény-Diósd,47.398333,18.974444,2026-07-26 07:10:13.308732,23.95,23.58,23.77,24.91,1010,45,1.79,146,20,0.0,Clouds,few clouds,7
Érdliget,47.390278,18.937778,2026-07-26 07:10:14.537102,24.01,23.64,23.69,24.83,1010,45,1.79,146,30,0.0,Clouds,scattered clouds,7
Érd felső,47.381111,18.922222,2026-07-26 07:10:15.771895,24.04,23.67,23.65,24.8,1010,45,1.79,146,41,0.0,Clouds,scattered clouds,7
Érd,47.369722,18.900833,2026-07-26 07:10:17.009054,24.08,23.72,23.62,24.76,1010,45,5.95,169,41,0.0,Clouds,scattered clouds,7
Százhalombatta,47.322222,18.899167,2026-07-26 07:10:18.244596,24.04,23.73,23.6,24.75,1010,47,6.28,171,44,0.0,Clouds,scattered clouds,7
Dunai Finomító,47.294444,18.878889,2026-07-26 07:10:19.476559,23.88,23.55,21.96,24.58,1010,47,6.45,172,69,0.0,Clouds,broken clouds,7
Ercsi,47.247222,18.875278,2026-07-26 07:10:20.708867,24.07,23.47,22.19,24.81,1010,36,6.55,173,71,0.0,Clouds,broken clouds,7
Iváncsa,47.177778,18.811944,2026-07-26 07:10:21.943015,23.76,23.13,23.76,23.76,1010,36,6.76,175,93,0.0,Clouds,overcast clouds,7
Pusztaszabolcs,47.139722,18.761667,2026-07-26 07:10:23.173078,23.87,23.25,23.87,23.87,1010,36,6.91,176,99,0.0,Clouds,overcast clouds,7
Szabadegyháza,47.082778,18.704167,2026-07-26 07:10:24.411471,23.89,23.27,23.89,23.89,1010,36,6.93,176,100,0.0,Clouds,overcast clouds,7
