station_name,station_lat,station_lon,observation_time,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds,precipitation_1h,weather_main,weather_description,collection_hour
Búcsúszentlászló,46.793056,16.932778,2026-08-19 18:49:09.052078,25.96,25.96,25.84,25.96,1009,40,3.89,179,83,0.0,Clouds,broken clouds,18
Angyalföld,47.549722,19.09,2026-08-19 18:49:10.278111,23.85,23.81,22.6,25.23,1011,58,1.54,90,0,0.0,Clear,clear sky,18
Felsőjánosfa,46.841389,16.544167,2026-08-19 18:49:11.536896,25.65,25.55,25.65,25.65,1009,49,3.58,184,28,0.0,Clouds,scattered clouds,18
Pankasz,46.835833,16.496111,2026-08-19 18:49:12.790103,26.16,26.16,26.16,26.16,1009,49,3.76,186,22,0.0,Clouds,few clouds,18
Nagyrákos,46.827222,16.455556,2026-08-19 18:49:14.047841,26.13,26.13,26.13,26.13,1009,50,3.85,188,20,0.0,Clouds,few clouds,18
Őriszentpéter,46.828889,16.415278,2026-08-19 18:49:15.293926,26.25,26.25,26.25,26.25,1009,50,4.01,191,16,0.0,Clouds,few clouds,18
Törökbálint,47.45,18.908611,2026-08-19 18:49:16.517662,23.91,23.87,22.38,25.0,1011,58,0.45,214,0,0.0,Clear,clear sky,18
Bicske alsó,47.486389,18.642778,2026-08-19 18:49:17.772132,24.02,23.94,22.27,24.52,1011,56,2.79,129,0,0.0,Clear,clear sky,18
Bajánsenye,46.818056,16.358056,2026-08-19 18:49:19.025524,26.37,26.37,26.37,26.37,1009,50,3.85,192,17,0.0,Clouds,few clouds,18
Aquincum,47.566218,19.048273,2026-08-19 18:49:20.284691,23.75,23.72,22.63,25.25,1011,59,0.45,214,0,0.0,Clear,clear sky,18
Piliscsév,47.673889,18.791389,2026-08-19 18:49:21.545169,23.65,23.66,22.21,24.8,1011,61,2.55,141,1,0.0,Clear,clear sky,18
Tát,47.741201,18.64783,2026-08-19 18:49:22.774265,25.2,25.32,22.62,25.2,1010,59,2.99,141,0,0.0,Clear,clear sky,18
Süttő felső,47.756667,18.437222,2026-08-19 18:49:24.028627,25.23,25.24,25.23,25.23,1010,55,3.26,138,0,0.0,Clear,clear sky,18
Budatétény,47.405,19.016389,2026-08-19 18:49:25.295537,24.31,24.26,22.67,25.29,1011,56,1.54,90,1,0.0,Clear,clear sky,18
Seregélyes-Szőlőhegy,47.119444,18.612222,2026-08-19 18:49:26.557163,24.37,24.27,24.37,24.37,1011,54,3.7,140,0,0.0,Clear,clear sky,18
Gödöllő-Állami telepek,47.564444,19.375556,2026-08-19 18:49:27.806687,23.1,23.11,22.59,24.74,1011,63,1.54,90,0,0.0,Clear,clear sky,18
Dunakeszi alsó,47.607778,19.128889,2026-08-19 18:49:29.030576,23.72,23.71,22.6,25.22,1011,60,1.49,168,0,0.0,Clear,clear sky,18
Vác-Alsóváros,47.773056,19.149722,2026-08-19 18:49:30.288042,23.5,23.45,22.17,23.73,1011,59,2.09,182,4,0.0,Clear,clear sky,18
Szob alsó,47.816667,18.8725,2026-08-19 18:49:31.542630,25.19,25.31,22.61,25.19,1011,59,2.46,151,0,0.0,Clear,clear sky,18
Zalaszentmihály-Pacsa,46.7225,16.951944,2026-08-19 18:49:32.801544,25.87,25.56,25.75,25.87,1009,40,3.09,160,93,0.0,Clouds,overcast clouds,18
Pötréte,46.682778,16.9575,2026-08-19 18:49:34.068171,25.75,25.69,25.75,25.87,1009,50,3.09,160,97,0.0,Clouds,overcast clouds,18
Felsőrajk,46.667222,16.982778,2026-08-19 18:49:35.298633,25.81,25.75,25.81,25.93,1009,50,3.09,160,95,0.0,Clouds,overcast clouds,18
Gelse,46.600556,16.982778,2026-08-19 18:49:36.552768,25.81,25.75,25.81,25.93,1009,50,3.09,160,89,0.0,Clouds,overcast clouds,18
Őrtilos,46.297778,16.887778,2026-08-19 18:49:37.821698,27.2,27.24,27.2,27.2,1010,44,3.83,180,98,0.0,Clouds,overcast clouds,18
Zákány,46.251944,16.9425,2026-08-19 18:49:39.077211,27.01,27.08,27.01,27.01,1010,44,3.88,177,99,0.0,Clouds,overcast clouds,18
Berzence,46.201389,17.143611,2026-08-19 18:49:40.319469,27.2,27.24,27.2,27.2,1010,44,3.44,168,100,0.0,Clouds,overcast clouds,18
Somogyudvarhely,46.163333,17.179722,2026-08-19 18:49:41.541688,27.15,27.25,27.15,27.15,1010,45,3.26,166,100,0.0,Clouds,overcast clouds,18
Bélavár,46.122778,17.207778,2026-08-19 18:49:42.798417,27.18,27.28,27.18,27.18,1010,45,3.0,163,100,0.0,Clouds,overcast clouds,18
Vízvár,46.101389,17.239444,2026-08-19 18:49:44.053369,27.05,27.17,27.05,27.05,1010,45,2.89,161,100,0.0,Clouds,overcast clouds,18
Babócsa,46.028359,17.342276,2026-08-19 18:49:45.308063,27.0,27.13,27.0,27.0,1010,45,2.79,154,100,0.0,Clouds,overcast clouds,18
Péterhida-Komlósd,46.006667,17.358056,2026-08-19 18:49:46.551648,27.02,27.14,27.02,27.02,1010,45,2.78,154,100,0.0,Clouds,overcast clouds,18
Barcs,45.951944,17.446944,2026-08-19 18:49:47.814117,26.99,27.12,26.99,26.99,1011,45,2.89,156,91,0.0,Clouds,overcast clouds,18
Barcs felső,45.958333,17.486389,2026-08-19 18:49:49.042690,26.87,27.02,26.87,26.87,1011,45,2.94,156,91,0.0,Clouds,overcast clouds,18
Középrigóc,45.970556,17.525,2026-08-19 18:49:50.300328,26.76,26.88,26.76,26.76,1011,44,2.99,157,92,0.0,Clouds,overcast clouds,18
Darány,45.992222,17.598611,2026-08-19 18:49:51.553049,26.7,26.84,26.7,26.7,1011,44,3.01,157,99,0.0,Clouds,overcast clouds,18
Kisdobsza,46.012222,17.668056,2026-08-19 18:49:52.806129,26.68,26.82,26.68,26.68,1011,44,2.91,155,100,0.0,Clouds,overcast clouds,18
Nemeske,46.023333,17.705278,2026-08-19 18:49:54.057417,26.66,26.66,26.66,26.66,1011,43,2.91,157,100,0.0,Clouds,overcast clouds,18
Molvány,46.035278,17.748611,2026-08-19 18:49:55.290741,26.57,26.57,26.57,26.57,1011,43,2.79,155,98,0.0,Clouds,overcast clouds,18
Szigetvár,46.043333,17.801944,2026-08-19 18:49:56.548753,26.5,26.5,26.5,26.5,1011,43,2.8,156,98,0.0,Clouds,overcast clouds,18
Nagypeterd,46.039444,17.871667,2026-08-19 18:49:57.803637,27.53,27.45,27.53,27.53,1011,43,2.8,156,97,0.0,Clouds,overcast clouds,18
Szentdénes,46.036667,17.926944,2026-08-19 18:49:59.058170,27.48,27.41,27.48,27.48,1011,43,2.79,156,97,0.0,Clouds,overcast clouds,18
Háros,47.412222,19.035,2026-08-19 18:50:00.308162,24.29,24.24,22.63,25.25,1011,56,1.54,90,1,0.0,Clear,clear sky,18
Nagytétény-Diósd,47.398333,18.974444,2026-08-19 18:50:01.542885,24.33,24.28,22.66,25.29,1011,56,0.45,120,1,0.0,Clear,clear sky,18
Érdliget,47.390278,18.937778,2026-08-19 18:50:02.805321,24.27,24.21,22.58,25.2,1011,56,0.45,120,0,0.0,Clear,clear sky,18
Érd felső,47.381111,18.922222,2026-08-19 18:50:04.058626,24.26,24.2,22.54,25.17,1011,56,0.45,120,0,0.0,Clear,clear sky,18
Érd,47.369722,18.900833,2026-08-19 18:50:05.322080,24.24,24.18,22.51,25.13,1011,56,2.57,142,0,0.0,Clear,clear sky,18
Százhalombatta,47.322222,18.899167,2026-08-19 18:50:06.572810,24.29,24.21,22.49,25.12,1011,55,2.83,143,0,0.0,Clear,clear sky,18
Dunai Finomító,47.294444,18.878889,2026-08-19 18:50:07.815126,24.28,24.2,23.62,26.94,1011,55,3.01,142,0,0.0,Clear,clear sky,18
Ercsi,47.247222,18.875278,2026-08-19 18:50:09.068985,24.49,24.4,23.85,27.16,1011,54,3.11,143,0,0.0,Clear,clear sky,18
Iváncsa,47.177778,18.811944,2026-08-19 18:50:10.321079,24.16,24.02,24.16,24.16,1011,53,3.44,143,1,0.0,Clear,clear sky,18
Pusztaszabolcs,47.139722,18.761667,2026-08-19 18:50:11.580494,24.32,24.19,24.32,24.32,1011,53,3.67,143,2,0.0,Clear,clear sky,18
Szabadegyháza,47.082778,18.704167,2026-08-19 18:50:12.829863,24.38,24.26,24.38,24.38,1011,53,3.9,141,1,0.0,Clear,clear sky,18
Sárosd,47.039722,18.660278,2026-08-19 18:50:14.087117,24.48,24.37,24.48,24.48,1011,53,4.05,140,0,0.0,Clear,clear sky,18
Nagylók,46.979444,18.635833,2026-08-19 18:50:15.346375,24.43,24.31,24.43,24.43,1011,53,4.26,139,0,0.0,Clear,clear sky,18
Sárbogárd,46.896944,18.611944,2026-08-19 18:50:16.602712,24.73,24.64,24.73,24.73,1011,53,4.3,138,0,0.0,Clear,clear sky,18
Rétszilas,46.814167,18.601389,2026-08-19 18:50:17.850666,24.84,24.74,24.84,24.84,1011,52,4.1,134,0,0.0,Clear,clear sky,18
Nagyatád,46.228611,17.354167,2026-08-19 18:50:19.102949,26.87,26.97,26.87,26.87,1010,44,3.01,153,69,0.0,Clouds,broken clouds,18
Budapest-Keleti,47.500278,19.084167,2026-08-19 18:50:20.340787,24.07,24.02,22.58,25.2,1011,57,1.54,90,0,0.0,Clear,clear sky,18
Ferencváros,47.468611,19.088056,2026-08-19 18:50:21.600543,24.24,24.21,22.6,25.22,1011,57,1.54,90,1,0.0,Clear,clear sky,18
Budapest-Nyugati,47.510833,19.0575,2026-08-19 18:50:22.853606,23.97,23.94,22.59,25.21,1011,58,1.54,90,0,0.0,Clear,clear sky,18
Kőbánya felső,47.491944,19.133889,2026-08-19 18:50:24.105103,24.29,24.24,22.52,25.14,1011,56,1.54,90,1,0.0,Clear,clear sky,18
Rákos,47.488889,19.174722,2026-08-19 18:50:25.367742,24.29,24.29,22.48,25.1,1011,58,1.54,90,1,0.0,Clear,clear sky,18
Rákosrendező,47.525556,19.089444,2026-08-19 18:50:26.606519,24.01,23.98,22.62,25.25,1011,58,1.54,90,0,0.0,Clear,clear sky,18
Zugló,47.511389,19.101389,2026-08-19 18:50:27.862202,24.09,24.04,22.58,25.21,1011,57,1.54,90,0,0.0,Clear,clear sky,18
Mezőtárkány,47.725,20.480278,2026-08-19 18:50:29.127775,23.23,23.1,23.23,23.23,1012,57,2.29,214,0,0.0,Clear,clear sky,18
