station_name,station_lat,station_lon,observation_time,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds,precipitation_1h,weather_main,weather_description,collection_hour
Búcsúszentlászló,46.793056,16.932778,2026-09-07 03:57:11.831626,11.84,10.96,11.84,11.84,1026,72,0.72,118,6,0.0,Clear,clear sky,3
Angyalföld,47.549722,19.09,2026-09-07 03:57:12.993300,15.61,14.69,13.61,16.06,1027,56,4.12,80,65,0.0,Clouds,broken clouds,3
Felsőjánosfa,46.841389,16.544167,2026-09-07 03:57:14.144983,13.15,12.45,13.15,13.15,1026,74,0.72,86,29,0.0,Clouds,scattered clouds,3
Pankasz,46.835833,16.496111,2026-09-07 03:57:15.295845,12.91,12.19,12.91,12.91,1026,74,0.73,78,34,0.0,Clouds,scattered clouds,3
Nagyrákos,46.827222,16.455556,2026-09-07 03:57:16.447260,12.9,12.2,12.9,12.9,1026,75,0.72,75,36,0.0,Clouds,scattered clouds,3
Őriszentpéter,46.828889,16.415278,2026-09-07 03:57:17.601266,13.03,12.35,13.03,13.03,1026,75,0.67,67,38,0.0,Clouds,scattered clouds,3
Törökbálint,47.45,18.908611,2026-09-07 03:57:18.752407,14.83,13.83,13.42,15.83,1027,56,1.34,99,51,0.0,Clouds,broken clouds,3
Bicske alsó,47.486389,18.642778,2026-09-07 03:57:19.900640,13.38,12.29,13.31,15.23,1027,58,1.58,96,47,0.0,Clouds,scattered clouds,3
Bajánsenye,46.818056,16.358056,2026-09-07 03:57:21.061733,13.16,12.49,13.16,13.16,1026,75,0.72,62,40,0.0,Clouds,scattered clouds,3
Aquincum,47.566218,19.048273,2026-09-07 03:57:22.224810,15.64,14.72,13.64,16.08,1027,56,1.34,99,69,0.0,Clouds,broken clouds,3
Piliscsév,47.673889,18.791389,2026-09-07 03:57:23.375432,11.85,10.97,11.3,15.67,1027,72,1.69,107,73,0.0,Clouds,broken clouds,3
Tát,47.741201,18.64783,2026-09-07 03:57:24.524703,11.7,10.81,11.7,11.7,1026,72,1.84,121,78,0.0,Clouds,broken clouds,3
Süttő felső,47.756667,18.437222,2026-09-07 03:57:25.676823,11.73,10.55,11.73,11.73,1026,61,1.74,125,79,0.0,Clouds,broken clouds,3
Budatétény,47.405,19.016389,2026-09-07 03:57:26.826656,15.43,14.46,13.71,16.12,1027,55,4.12,80,51,0.0,Clouds,broken clouds,3
Seregélyes-Szőlőhegy,47.119444,18.612222,2026-09-07 03:57:27.975882,12.65,11.54,12.65,12.65,1027,60,2.66,66,12,0.0,Clouds,few clouds,3
Gödöllő-Állami telepek,47.564444,19.375556,2026-09-07 03:57:29.130590,14.86,13.84,14.74,15.57,1027,55,4.12,80,59,0.0,Clouds,broken clouds,3
Dunakeszi alsó,47.607778,19.128889,2026-09-07 03:57:30.280663,14.79,13.84,13.61,16.05,1027,58,1.57,92,65,0.0,Clouds,broken clouds,3
Vác-Alsóváros,47.773056,19.149722,2026-09-07 03:57:31.436091,13.59,12.68,13.59,13.59,1028,64,0.96,101,64,0.0,Clouds,broken clouds,3
Szob alsó,47.816667,18.8725,2026-09-07 03:57:32.595566,11.69,10.79,11.69,11.69,1027,72,1.85,111,80,0.0,Clouds,broken clouds,3
Zalaszentmihály-Pacsa,46.7225,16.951944,2026-09-07 03:57:33.755413,11.75,11.25,11.75,11.75,1026,87,1.03,330,9,0.0,Clear,clear sky,3
Pötréte,46.682778,16.9575,2026-09-07 03:57:34.905022,11.75,11.25,11.75,11.75,1026,87,1.03,330,12,0.0,Clouds,few clouds,3
Felsőrajk,46.667222,16.982778,2026-09-07 03:57:36.059735,11.81,11.32,11.81,11.81,1026,87,1.03,330,11,0.0,Clouds,few clouds,3
Gelse,46.600556,16.982778,2026-09-07 03:57:37.209763,11.81,11.32,11.81,11.81,1026,87,1.03,330,15,0.0,Clouds,few clouds,3
Őrtilos,46.297778,16.887778,2026-09-07 03:57:38.363706,13.55,12.79,13.55,13.55,1026,70,1.64,88,26,0.0,Clouds,scattered clouds,3
Zákány,46.251944,16.9425,2026-09-07 03:57:39.513676,13.37,12.56,13.37,13.37,1026,69,1.9,89,19,0.0,Clouds,few clouds,3
Berzence,46.201389,17.143611,2026-09-07 03:57:40.662857,13.6,12.77,13.6,13.6,1026,67,2.19,94,24,0.0,Clouds,few clouds,3
Somogyudvarhely,46.163333,17.179722,2026-09-07 03:57:41.821602,13.58,12.72,13.58,13.58,1026,66,2.25,94,24,0.0,Clouds,few clouds,3
Bélavár,46.122778,17.207778,2026-09-07 03:57:42.970858,13.69,12.81,13.69,13.69,1026,65,2.3,94,18,0.0,Clouds,few clouds,3
Vízvár,46.101389,17.239444,2026-09-07 03:57:44.120665,13.62,12.73,13.62,13.62,1026,65,2.33,95,15,0.0,Clouds,few clouds,3
Babócsa,46.028359,17.342276,2026-09-07 03:57:45.290518,13.66,12.73,13.66,13.66,1026,63,2.42,99,10,0.0,Clear,clear sky,3
Péterhida-Komlósd,46.006667,17.358056,2026-09-07 03:57:46.444873,13.74,12.81,13.74,13.74,1026,63,2.43,100,7,0.0,Clear,clear sky,3
Barcs,45.951944,17.446944,2026-09-07 03:57:47.601371,13.81,12.87,13.81,13.81,1026,62,2.55,104,4,0.0,Clear,clear sky,3
Barcs felső,45.958333,17.486389,2026-09-07 03:57:48.750510,13.71,12.76,13.71,13.71,1026,62,2.62,105,4,0.0,Clear,clear sky,3
Középrigóc,45.970556,17.525,2026-09-07 03:57:49.904427,13.6,12.61,13.6,13.6,1026,61,2.68,106,5,0.0,Clear,clear sky,3
Darány,45.992222,17.598611,2026-09-07 03:57:51.058754,13.58,12.59,13.58,13.58,1026,61,2.74,109,7,0.0,Clear,clear sky,3
Kisdobsza,46.012222,17.668056,2026-09-07 03:57:52.210256,13.61,12.59,13.61,13.61,1026,60,2.62,109,8,0.0,Clear,clear sky,3
Nemeske,46.023333,17.705278,2026-09-07 03:57:53.361696,13.63,12.62,13.63,13.63,1026,60,2.6,110,8,0.0,Clear,clear sky,3
Molvány,46.035278,17.748611,2026-09-07 03:57:54.516944,13.61,12.59,13.61,13.61,1026,60,2.36,108,8,0.0,Clear,clear sky,3
Szigetvár,46.043333,17.801944,2026-09-07 03:57:55.669955,13.59,12.57,13.59,13.59,1026,60,2.3,108,8,0.0,Clear,clear sky,3
Nagypeterd,46.039444,17.871667,2026-09-07 03:57:56.818912,16.53,15.78,16.53,16.53,1026,59,2.19,106,8,0.0,Clear,clear sky,3
Szentdénes,46.036667,17.926944,2026-09-07 03:57:57.970387,16.48,15.72,16.48,16.48,1026,59,2.12,104,8,0.0,Clear,clear sky,3
Háros,47.412222,19.035,2026-09-07 03:57:59.128474,15.41,14.44,13.64,16.08,1027,55,4.12,80,51,0.0,Clouds,broken clouds,3
Nagytétény-Diósd,47.398333,18.974444,2026-09-07 03:58:00.290527,15.32,14.34,13.7,16.12,1027,55,1.34,19,46,0.0,Clouds,scattered clouds,3
Érdliget,47.390278,18.937778,2026-09-07 03:58:01.446112,15.11,14.14,13.62,16.03,1027,56,1.34,19,44,0.0,Clouds,scattered clouds,3
